city,district,facility_name,type,chain_brand,lat,lng,gfa_sqm
名古屋市中村区,名駅,JRセントラルタワーズ高島屋,mall,,35.1706,136.8826,86000
名古屋市中村区,名駅,名鉄百貨店本店,mall,,35.1698,136.8815,52000
名古屋市中村区,名駅,セブンイレブン名駅南店,cvs,セブンイレブン,35.1680,136.8830,120
名古屋市中村区,名駅,ファミリーマート名駅西店,cvs,ファミリーマート,35.1712,136.8800,130
名古屋市中村区,名駅,ローソン名駅前店,cvs,ローソン,35.1700,136.8820,110
名古屋市中村区,名駅,マツモトキヨシ名駅店,drugstore,マツモトキヨシ,35.1705,136.8818,250
名古屋市中村区,名駅,スギ薬局名駅店,drugstore,スギ薬局,35.1695,136.8825,300
名古屋市中村区,名駅,マクドナルド名駅南店,fast_food,マクドナルド,35.1682,136.8835,180
名古屋市中村区,名駅,スターバックス名駅店,cafe,スターバックス,35.1708,136.8822,150
名古屋市中村区,名駅,コメダ珈琲名駅西口店,cafe,コメダ珈琲,35.1715,136.8798,200
名古屋市中区,栄,松坂屋名古屋店,mall,,35.1665,136.9075,86000
名古屋市中区,栄,三越名古屋栄店,mall,,35.1698,136.9068,42000
名古屋市中区,栄,名古屋パルコ,sc,,35.1658,136.9045,38000
名古屋市中区,栄,LACHIC,sc,,35.1680,136.9082,27000
名古屋市中区,栄,セブンイレブン栄三丁目店,cvs,セブンイレブン,35.1690,136.9060,115
名古屋市中区,栄,ファミリーマート錦三丁目店,cvs,ファミリーマート,35.1695,136.9025,120
名古屋市中区,栄,マクドナルド栄店,fast_food,マクドナルド,35.1685,136.9070,200
名古屋市中区,栄,吉野家栄店,fast_food,吉野家,35.1678,136.9055,140
名古屋市中区,栄,スターバックス久屋大通公園店,cafe,スターバックス,35.1710,136.9088,180
名古屋市中区,栄,タリーズ栄店,cafe,タリーズ,35.1675,136.9065,160
名古屋市中区,大須,大須商店街,sc,,35.1580,136.9025,15000
名古屋市中区,大須,セブンイレブン大須店,cvs,セブンイレブン,35.1585,136.9030,100
名古屋市中区,大須,ドン・キホーテ大須店,drugstore,ドン・キホーテ,35.1590,136.9020,3500
名古屋市中区,金山,イオンモール金山,sc,,35.1520,136.9010,28000
名古屋市中区,金山,セブンイレブン金山駅前店,cvs,セブンイレブン,35.1525,136.9005,110
名古屋市千種区,星ヶ丘,星ヶ丘テラス,sc,,35.1608,136.9642,18000
名古屋市千種区,星ヶ丘,セブンイレブン星ヶ丘店,cvs,セブンイレブン,35.1612,136.9638,120
名古屋市千種区,今池,セブンイレブン今池店,cvs,セブンイレブン,35.1670,136.9340,110
名古屋市千種区,今池,マクドナルド今池店,fast_food,マクドナルド,35.1665,136.9335,170
名古屋市千種区,今池,スギ薬局今池店,drugstore,スギ薬局,35.1668,136.9345,280
名古屋市東区,大曽根,イオンナゴヤドーム前店,sc,,35.1860,136.9470,32000
名古屋市東区,大曽根,セブンイレブン大曽根店,cvs,セブンイレブン,35.1758,136.9320,105
名古屋市熱田区,熱田,イオンモール熱田,mall,,35.1385,136.8948,58000
名古屋市熱田区,熱田,セブンイレブン熱田店,cvs,セブンイレブン,35.1380,136.8955,100
名古屋市港区,金城ふ頭,レゴランド・ジャパン,sc,,35.0468,136.8430,12000
名古屋市港区,金城ふ頭,メイカーズピア,sc,,35.0475,136.8440,8500
名古屋市緑区,鳴海,イオンモール大高,mall,,35.0862,136.9328,65000
名古屋市緑区,鳴海,セブンイレブン大高店,cvs,セブンイレブン,35.0865,136.9325,120
名古屋市緑区,徳重,ヒルズウォーク徳重,sc,,35.1085,136.9568,22000
名古屋市西区,則武新町,イオンモール Nagoya Noritake Garden,mall,,35.1768,136.8762,52000
名古屋市西区,則武新町,セブンイレブン則武新町店,cvs,セブンイレブン,35.1770,136.8758,115
名古屋市天白区,植田,ローソン植田駅前店,cvs,ローソン,35.1322,136.9508,110
名古屋市天白区,原,セブンイレブン原駅前店,cvs,セブンイレブン,35.1278,136.9580,120
名古屋市瑞穂区,新瑞橋,イオンモール新瑞橋,mall,,35.1240,136.9248,42000
