city,district,total_establishments,major_company_count,employee_total,avg_commute_minutes,top_industry,industry_share,office_vacancy_rate
名古屋市中区,栄,15200,215,320000,32,金融・保険業,18.5,5.2
名古屋市中区,丸の内,8900,142,185000,30,専門・技術サービス業,22.0,6.1
名古屋市中区,錦,7600,108,148000,31,情報通信業,16.8,5.8
名古屋市中区,大須,4200,28,52000,28,卸売・小売業,35.2,4.5
名古屋市中村区,名駅,12500,185,275000,25,運輸・郵便業,14.2,4.8
名古屋市中村区,太閤通,2800,22,38000,22,卸売・小売業,28.5,7.2
名古屋市東区,東桜,3500,45,62000,28,情報通信業,24.5,6.5
名古屋市東区,泉,2200,32,41000,27,専門・技術サービス業,20.0,7.0
名古屋市千種区,今池,1800,18,28000,30,教育・学習支援業,15.0,8.2
名古屋市名東区,藤が丘,1200,8,18000,35,卸売・小売業,32.0,9.5
名古屋市熱田区,金山,2600,35,48000,25,卸売・小売業,25.8,6.8
名古屋市港区,港北,1800,12,42000,35,運輸・郵便業,38.5,3.2
名古屋市西区,上小田井,1500,10,22000,32,卸売・小売業,30.0,8.8
名古屋市北区,大曽根,1400,15,24000,28,製造業,18.2,9.0
名古屋市昭和区,八事,950,6,12000,30,教育・学習支援業,28.0,10.5
名古屋市瑞穂区,堀田,1600,18,35000,26,製造業,32.5,5.5
名古屋市緑区,鳴海,1100,5,15000,38,卸売・小売業,35.0,11.2
名古屋市天白区,植田,900,4,11000,35,卸売・小売業,33.0,12.0
名古屋市中川区,尾頭橋,1300,8,19000,28,製造業,22.5,8.5
名古屋市南区,笠寺,1050,7,16000,32,製造業,28.0,9.8
名古屋市守山区,小幡,850,3,9500,38,卸売・小売業,38.0,13.5
豊田市,豊田市駅周辺,6800,85,245000,28,製造業,42.5,4.2
豊田市,三好,1200,12,28000,32,製造業,38.0,6.0
岡崎市,東岡崎,3200,32,58000,30,製造業,28.5,7.5
一宮市,一宮駅周辺,2800,22,42000,35,繊維工業,18.0,8.8
春日井市,春日井駅周辺,2200,15,35000,32,製造業,25.0,9.2
豊橋市,豊橋駅周辺,2600,25,45000,30,製造業,22.8,7.8
安城市,安城駅周辺,1800,18,38000,25,製造業,35.2,6.5
刈谷市,刈谷駅周辺,2400,42,82000,22,製造業,48.0,3.8
小牧市,小牧駅周辺,1900,15,32000,30,運輸・郵便業,22.0,8.0
