city,total_crimes,crime_rate_per_1000,theft_count,violent_count,fraud_count,safety_score,dominant_crime_type,year
名古屋市中区,4850,62.5,2920,185,680,28,窃盗,2024
名古屋市中村区,3620,52.8,2180,142,520,35,窃盗,2024
名古屋市東区,1580,38.2,980,58,210,52,窃盗,2024
名古屋市千種区,1420,34.5,850,48,195,58,窃盗,2024
名古屋市名東区,1180,28.2,720,35,168,65,窃盗,2024
名古屋市緑区,1650,30.5,1020,52,215,60,窃盗,2024
名古屋市港区,1520,38.8,920,68,198,48,窃盗,2024
名古屋市昭和区,850,24.0,510,28,125,72,窃盗,2024
名古屋市天白区,1080,26.5,680,32,142,68,窃盗,2024
名古屋市瑞穂区,780,22.8,465,25,115,75,窃盗,2024
名古屋市熱田区,1120,42.0,680,52,155,45,窃盗,2024
名古屋市中川区,1780,35.2,1100,62,235,50,窃盗,2024
名古屋市北区,1250,32.0,760,45,175,55,窃盗,2024
名古屋市西区,1180,30.8,720,38,165,58,窃盗,2024
名古屋市南区,1350,38.5,820,58,185,47,窃盗,2024
名古屋市守山区,1280,30.2,780,42,178,57,窃盗,2024
豊田市,2850,28.5,1720,85,380,62,窃盗,2024
岡崎市,2180,30.0,1320,68,295,58,窃盗,2024
一宮市,1950,32.5,1180,62,268,55,窃盗,2024
春日井市,1620,28.8,980,48,225,62,窃盗,2024
豊橋市,1780,30.2,1080,55,248,58,窃盗,2024
安城市,920,22.5,560,28,128,72,窃盗,2024
刈谷市,780,24.0,475,25,112,74,窃盗,2024
小牧市,1050,28.0,640,35,148,64,窃盗,2024
