city,seismic_intensity_30yr,liquefaction_risk,slope_failure_risk,overall_risk_score,notes
名古屋市中村区,63,low,medium,4,濃尾平野は地盤が軟弱な地域あり
名古屋市中区,78,medium,low,7,濃尾平野は地盤が軟弱な地域あり
名古屋市東区,61,low,low,2,濃尾平野は地盤が軟弱な地域あり
名古屋市千種区,69,medium,low,5,濃尾平野は地盤が軟弱な地域あり
名古屋市名東区,73,high,low,8,濃尾平野は地盤が軟弱な地域あり
名古屋市緑区,60,high,low,5,濃尾平野は地盤が軟弱な地域あり
名古屋市港区,75,low,low,5,濃尾平野は地盤が軟弱な地域あり
名古屋市昭和区,67,medium,high,6,濃尾平野は地盤が軟弱な地域あり
名古屋市天白区,61,low,medium,3,濃尾平野は地盤が軟弱な地域あり
名古屋市瑞穂区,79,low,low,6,濃尾平野は地盤が軟弱な地域あり
名古屋市熱田区,60,low,medium,3,濃尾平野は地盤が軟弱な地域あり
名古屋市中川区,64,medium,low,4,濃尾平野は地盤が軟弱な地域あり
名古屋市北区,83,low,low,7,濃尾平野は地盤が軟弱な地域あり
名古屋市西区,78,medium,low,7,濃尾平野は地盤が軟弱な地域あり
名古屋市南区,69,high,low,7,濃尾平野は地盤が軟弱な地域あり
名古屋市守山区,84,high,low,10,濃尾平野は地盤が軟弱な地域あり
豊田市,64,low,low,3,濃尾平野は地盤が軟弱な地域あり
岡崎市,77,medium,high,8,濃尾平野は地盤が軟弱な地域あり
一宮市,84,low,medium,8,濃尾平野は地盤が軟弱な地域あり
春日井市,78,low,low,6,濃尾平野は地盤が軟弱な地域あり
豊橋市,68,low,medium,5,濃尾平野は地盤が軟弱な地域あり
安城市,72,medium,low,5,濃尾平野は地盤が軟弱な地域あり
刈谷市,60,low,low,2,濃尾平野は地盤が軟弱な地域あり
小牧市,73,medium,low,6,濃尾平野は地盤が軟弱な地域あり
