city,district,river_flood_risk,inland_flood_risk,storm_surge_risk,hazard_zone,notes
名古屋市中村区,名古屋市中村区中心部,low,medium,high,danger,伊勢湾台風級の高潮リスク
名古屋市中区,名古屋市中区中心部,medium,low,low,warning,庄内川・天白川の氾濫リスク
名古屋市東区,名古屋市東区中心部,low,medium,high,danger,伊勢湾台風級の高潮リスク
名古屋市千種区,名古屋市千種区中心部,low,low,low,caution,濃尾平野は地盤が軟弱な地域あり
名古屋市名東区,名古屋市名東区中心部,low,high,high,danger,伊勢湾台風級の高潮リスク
名古屋市緑区,名古屋市緑区中心部,low,low,low,caution,濃尾平野は地盤が軟弱な地域あり
名古屋市港区,名古屋市港区中心部,medium,high,high,danger,伊勢湾台風級の高潮リスク
名古屋市昭和区,名古屋市昭和区中心部,low,low,low,caution,濃尾平野は地盤が軟弱な地域あり
名古屋市天白区,名古屋市天白区中心部,medium,high,medium,warning,伊勢湾台風級の高潮リスク
名古屋市瑞穂区,名古屋市瑞穂区中心部,low,low,low,caution,濃尾平野は地盤が軟弱な地域あり
名古屋市熱田区,名古屋市熱田区中心部,high,high,medium,danger,伊勢湾台風級の高潮リスク
名古屋市中川区,名古屋市中川区中心部,low,low,low,caution,濃尾平野は地盤が軟弱な地域あり
名古屋市北区,名古屋市北区中心部,high,high,low,danger,庄内川・天白川の氾濫リスク
名古屋市西区,名古屋市西区中心部,low,low,medium,warning,伊勢湾台風級の高潮リスク
名古屋市南区,名古屋市南区中心部,high,medium,low,danger,庄内川・天白川の氾濫リスク
名古屋市守山区,名古屋市守山区中心部,low,low,medium,warning,伊勢湾台風級の高潮リスク
豊田市,豊田市中心部,high,medium,low,danger,庄内川・天白川の氾濫リスク
岡崎市,岡崎市中心部,low,low,high,danger,伊勢湾台風級の高潮リスク
一宮市,一宮市中心部,high,low,high,danger,伊勢湾台風級の高潮リスク
春日井市,春日井市中心部,low,low,low,caution,濃尾平野は地盤が軟弱な地域あり
豊橋市,豊橋市中心部,medium,low,medium,warning,伊勢湾台風級の高潮リスク
安城市,安城市中心部,low,low,low,caution,濃尾平野は地盤が軟弱な地域あり
刈谷市,刈谷市中心部,medium,low,medium,warning,伊勢湾台風級の高潮リスク
小牧市,小牧市中心部,low,medium,low,caution,濃尾平野は地盤が軟弱な地域あり
