year,city,district,address,land_use,price_per_sqm,change_rate,lat,lng
2021,名古屋市中村区,名駅,名駅三丁目12-1,commercial,2150000,2.1,35.1709,136.8815
2022,名古屋市中村区,名駅,名駅三丁目12-1,commercial,2200000,2.3,35.1709,136.8815
2023,名古屋市中村区,名駅,名駅三丁目12-1,commercial,2310000,5.0,35.1709,136.8815
2024,名古屋市中村区,名駅,名駅三丁目12-1,commercial,2450000,6.1,35.1709,136.8815
2025,名古屋市中村区,名駅,名駅三丁目12-1,commercial,2580000,5.3,35.1709,136.8815
2023,名古屋市中村区,太閤,太閤通五丁目8-3,residential,285000,1.8,35.1632,136.8742
2024,名古屋市中村区,太閤,太閤通五丁目8-3,residential,293000,2.8,35.1632,136.8742
2025,名古屋市中村区,太閤,太閤通五丁目8-3,residential,302000,3.1,35.1632,136.8742
2021,名古屋市中区,栄,栄三丁目5-12,commercial,2850000,1.5,35.1681,136.9066
2022,名古屋市中区,栄,栄三丁目5-12,commercial,2920000,2.5,35.1681,136.9066
2023,名古屋市中区,栄,栄三丁目5-12,commercial,3070000,5.1,35.1681,136.9066
2024,名古屋市中区,栄,栄三丁目5-12,commercial,3250000,5.9,35.1681,136.9066
2025,名古屋市中区,栄,栄三丁目5-12,commercial,3410000,4.9,35.1681,136.9066
2023,名古屋市中区,丸の内,丸の内二丁目3-7,commercial,1680000,3.2,35.1752,136.9012
2024,名古屋市中区,丸の内,丸の内二丁目3-7,commercial,1750000,4.2,35.1752,136.9012
2025,名古屋市中区,丸の内,丸の内二丁目3-7,commercial,1820000,4.0,35.1752,136.9012
2021,名古屋市東区,東桜,東桜一丁目10-5,commercial,1450000,1.8,35.1725,136.9125
2022,名古屋市東区,東桜,東桜一丁目10-5,commercial,1490000,2.8,35.1725,136.9125
2023,名古屋市東区,東桜,東桜一丁目10-5,commercial,1560000,4.7,35.1725,136.9125
2024,名古屋市東区,東桜,東桜一丁目10-5,commercial,1640000,5.1,35.1725,136.9125
2025,名古屋市東区,東桜,東桜一丁目10-5,commercial,1720000,4.9,35.1725,136.9125
2023,名古屋市東区,徳川,徳川町15-2,residential,310000,2.5,35.1835,136.9310
2024,名古屋市東区,徳川,徳川町15-2,residential,322000,3.9,35.1835,136.9310
2025,名古屋市東区,徳川,徳川町15-2,residential,335000,4.0,35.1835,136.9310
2021,名古屋市千種区,覚王山,覚王山通八丁目3-1,residential,380000,1.2,35.1645,136.9522
2022,名古屋市千種区,覚王山,覚王山通八丁目3-1,residential,388000,2.1,35.1645,136.9522
2023,名古屋市千種区,覚王山,覚王山通八丁目3-1,residential,402000,3.6,35.1645,136.9522
2024,名古屋市千種区,覚王山,覚王山通八丁目3-1,residential,420000,4.5,35.1645,136.9522
2025,名古屋市千種区,覚王山,覚王山通八丁目3-1,residential,438000,4.3,35.1645,136.9522
2023,名古屋市名東区,藤が丘,藤が丘142-5,residential,195000,1.5,35.1782,137.0125
2024,名古屋市名東区,藤が丘,藤が丘142-5,residential,200000,2.6,35.1782,137.0125
2025,名古屋市名東区,藤が丘,藤が丘142-5,residential,206000,3.0,35.1782,137.0125
2023,名古屋市緑区,鳴海,鳴海町字三王山8-12,residential,128000,0.8,35.0712,136.9585
2024,名古屋市緑区,鳴海,鳴海町字三王山8-12,residential,131000,2.3,35.0712,136.9585
2025,名古屋市緑区,鳴海,鳴海町字三王山8-12,residential,135000,3.1,35.0712,136.9585
2023,名古屋市港区,港明,港明一丁目5-2,industrial,142000,0.5,35.0892,136.8832
2024,名古屋市港区,港明,港明一丁目5-2,industrial,143000,0.7,35.0892,136.8832
2025,名古屋市港区,港明,港明一丁目5-2,industrial,145000,1.4,35.0892,136.8832
2023,名古屋市昭和区,御器所,御器所通三丁目7-1,residential,295000,2.0,35.1485,136.9352
2024,名古屋市昭和区,御器所,御器所通三丁目7-1,residential,305000,3.4,35.1485,136.9352
2025,名古屋市昭和区,御器所,御器所通三丁目7-1,residential,316000,3.6,35.1485,136.9352
2023,名古屋市天白区,植田,植田三丁目12-8,residential,155000,1.0,35.1225,136.9782
2024,名古屋市天白区,植田,植田三丁目12-8,residential,158000,1.9,35.1225,136.9782
