city,district,facility_name,type,lat,lng,beds
名古屋市中区,栄,名古屋市立大学病院,hospital,35.1568,136.9162,800
名古屋市中区,丸の内,名古屋掖済会病院,hospital,35.1798,136.8968,558
名古屋市中区,大須,大須ファミリークリニック,clinic,35.1582,136.9028,
名古屋市中区,栄,栄ひふ科クリニック,clinic,35.1688,136.9065,
名古屋市中区,栄,スギ薬局調剤栄店,pharmacy,35.1692,136.9070,
名古屋市中区,金山,金山メディカルクリニック,clinic,35.1528,136.9008,
名古屋市中区,金山,マツモトキヨシ調剤金山店,pharmacy,35.1530,136.9012,
名古屋市中村区,名駅,名古屋第一赤十字病院,hospital,35.1620,136.8680,852
名古屋市中村区,名駅,名駅前クリニック,clinic,35.1705,136.8820,
名古屋市中村区,名駅,スギ薬局調剤名駅店,pharmacy,35.1700,136.8815,
名古屋市中村区,名駅,名駅歯科クリニック,dental,35.1710,136.8825,
名古屋市千種区,千種,名古屋大学医学部附属病院,hospital,35.1582,136.9408,1035
名古屋市千種区,千種,千種クリニック,clinic,35.1632,136.9348,
名古屋市千種区,今池,今池メディカルセンター,clinic,35.1665,136.9338,
名古屋市千種区,今池,スギ薬局調剤今池店,pharmacy,35.1668,136.9342,
名古屋市千種区,星ヶ丘,星ヶ丘マタニティ病院,hospital,35.1615,136.9640,80
名古屋市東区,大曽根,名古屋市立東部医療センター,hospital,35.1868,136.9478,520
名古屋市東区,大曽根,大曽根クリニック,clinic,35.1755,136.9318,
名古屋市東区,大曽根,大曽根調剤薬局,pharmacy,35.1758,136.9322,
名古屋市熱田区,熱田,名古屋市立西部医療センター,hospital,35.1388,136.8952,400
名古屋市熱田区,熱田,熱田クリニック,clinic,35.1382,136.8945,
名古屋市熱田区,熱田,スギ薬局調剤熱田店,pharmacy,35.1385,136.8950,
名古屋市港区,港区役所前,港陽クリニック,clinic,35.1025,136.8822,
名古屋市港区,港区役所前,港薬局,pharmacy,35.1028,136.8825,
名古屋市緑区,鳴海,南生協病院,hospital,35.0882,136.9488,313
名古屋市緑区,鳴海,鳴海クリニック,clinic,35.0865,136.9325,
名古屋市緑区,鳴海,スギ薬局調剤鳴海店,pharmacy,35.0868,136.9328,
名古屋市緑区,徳重,名古屋徳洲会総合病院,hospital,35.1082,136.9570,350
名古屋市緑区,徳重,徳重ファミリークリニック,clinic,35.1088,136.9565,
名古屋市西区,浄心,城西病院,hospital,35.1832,136.8918,250
名古屋市西区,浄心,浄心クリニック,clinic,35.1828,136.8920,
名古屋市天白区,植田,天白クリニック,clinic,35.1325,136.9510,
名古屋市天白区,植田,スギ薬局調剤植田店,pharmacy,35.1322,136.9512,
名古屋市天白区,原,原デンタルクリニック,dental,35.1280,136.9578,
名古屋市瑞穂区,新瑞橋,名古屋市立大学医学部附属東部医療センター分院,hospital,35.1242,136.9250,200
名古屋市瑞穂区,新瑞橋,新瑞橋クリニック,clinic,35.1238,136.9245,
名古屋市昭和区,御器所,名古屋記念病院,hospital,35.1502,136.9258,390
名古屋市昭和区,御器所,御器所クリニック,clinic,35.1498,136.9252,
名古屋市昭和区,御器所,スギ薬局調剤御器所店,pharmacy,35.1505,136.9260,
名古屋市中川区,高畑,中川クリニック,clinic,35.1435,136.8382,
名古屋市中川区,高畑,高畑調剤薬局,pharmacy,35.1432,136.8385,
名古屋市名東区,藤が丘,愛知医科大学メディカルセンター,hospital,35.1755,136.9868,150
名古屋市名東区,藤が丘,藤が丘クリニック,clinic,35.1752,136.9872,
名古屋市守山区,新守山,名古屋市立東部医療センター分院,clinic,35.2055,136.9565,
名古屋市守山区,新守山,守山薬局,pharmacy,35.2058,136.9570,
名古屋市北区,大曽根,大曽根デイケアセンター,elderly_care,35.1870,136.9315,
豊田市,豊田市駅,トヨタ記念病院,hospital,35.0842,137.1568,510
豊田市,豊田市駅,豊田駅前クリニック,clinic,35.0838,137.1565,
豊田市,豊田市駅,スギ薬局調剤豊田店,pharmacy,35.0840,137.1570,
豊橋市,豊橋駅,豊橋市民病院,hospital,34.7658,137.3878,700
豊橋市,豊橋駅,豊橋駅前クリニック,clinic,35.1428,137.3968,
岡崎市,東岡崎,岡崎市民病院,hospital,34.9525,137.1688,600
岡崎市,東岡崎,東岡崎クリニック,clinic,34.9520,137.1685,
一宮市,一宮駅,一宮市立市民病院,hospital,35.3038,136.8020,452
一宮市,一宮駅,一宮駅前クリニック,clinic,35.3035,136.8022,
春日井市,春日井駅,春日井市民病院,hospital,35.2472,136.9720,480
春日井市,春日井駅,春日井駅前クリニック,clinic,35.2468,136.9722,
