city,district,neighborhood,population,households,pop_density_sqkm,avg_age,child_ratio,elderly_ratio,daytime_pop_ratio
名古屋市中村区,名駅,名駅南1丁目,820,510,18500,42.1,0.06,0.18,4.8
名古屋市中村区,名駅,名駅南2丁目,1150,680,16200,41.8,0.07,0.17,4.2
名古屋市中村区,名駅,名駅3丁目,480,320,22100,40.5,0.05,0.15,5.0
名古屋市中村区,名駅,名駅4丁目,620,410,19800,41.2,0.06,0.16,4.6
名古屋市中村区,名駅,名駅5丁目,950,590,14500,43.0,0.08,0.20,3.5
名古屋市中村区,太閤通,太閤通1丁目,2800,1520,12800,44.5,0.10,0.24,1.8
名古屋市中村区,太閤通,太閤通2丁目,3200,1780,11900,45.2,0.11,0.26,1.5
名古屋市中区,栄,栄3丁目,650,420,20500,39.8,0.05,0.14,4.9
名古屋市中区,栄,栄4丁目,780,490,18900,40.2,0.06,0.15,4.5
名古屋市中区,栄,栄5丁目,920,560,17200,41.0,0.07,0.17,3.8
名古屋市中区,錦,錦3丁目,450,310,24800,38.5,0.04,0.12,5.0
名古屋市中区,丸の内,丸の内1丁目,380,260,21500,39.0,0.05,0.13,4.8
名古屋市中区,丸の内,丸の内2丁目,520,350,19600,40.1,0.05,0.14,4.5
名古屋市中区,丸の内,丸の内3丁目,610,400,18200,40.8,0.06,0.16,4.2
名古屋市中区,大須,大須3丁目,1850,1120,15800,43.5,0.09,0.22,2.8
名古屋市中区,金山,金山町1丁目,1420,860,13600,42.8,0.08,0.20,3.2
名古屋市東区,東桜,東桜1丁目,1280,780,16400,41.5,0.07,0.18,3.6
名古屋市東区,東桜,東桜2丁目,1560,920,14800,42.0,0.08,0.19,3.2
名古屋市東区,葵,葵1丁目,2100,1250,13200,43.2,0.09,0.21,2.5
名古屋市東区,泉,泉1丁目,1680,1020,15100,41.8,0.07,0.18,3.4
名古屋市千種区,星ヶ丘,星ヶ丘元町,4200,2100,9800,44.8,0.14,0.25,0.9
名古屋市千種区,今池,今池1丁目,3500,2050,11500,42.5,0.10,0.22,2.1
名古屋市千種区,覚王山,覚王山通,3800,1950,10200,46.2,0.12,0.28,0.8
名古屋市熱田区,熱田,熱田西町,2900,1580,11800,45.0,0.11,0.27,1.6
名古屋市熱田区,金山,金山町2丁目,1650,980,14200,42.5,0.08,0.20,3.0
名古屋市港区,金城ふ頭,金城ふ頭1丁目,280,120,2100,38.0,0.03,0.10,3.8
名古屋市港区,港明,港明1丁目,3100,1680,8500,46.5,0.09,0.30,1.2
名古屋市緑区,鳴海,鳴海町,5800,2650,7200,45.8,0.13,0.27,0.7
名古屋市緑区,大高,大高町,6200,2850,6800,44.2,0.15,0.24,0.7
名古屋市西区,則武新町,則武新町3丁目,2400,1380,12500,43.8,0.10,0.23,2.2
名古屋市西区,浄心,浄心1丁目,3600,1920,10800,44.5,0.12,0.25,1.1
名古屋市北区,黒川,黒川本通,3200,1780,11200,44.0,0.11,0.24,1.4
名古屋市北区,大曽根,大曽根3丁目,2800,1560,12000,43.5,0.10,0.23,1.8
名古屋市天白区,植田,植田1丁目,4500,2180,8900,45.5,0.14,0.26,0.7
名古屋市天白区,塩釜口,塩釜口1丁目,5200,2480,8200,43.0,0.16,0.22,0.8
