city,pop_2020,pop_2030,pop_2040,pop_2050,decline_rate_2050
"名古屋市中村区",68000,66018,62550,59577,12.4
"名古屋市中区",91000,87809,82226,77440,14.9
"名古屋市東区",86000,83281,78524,74446,13.4
"名古屋市千種区",165000,159635,150246,142199,13.8
"名古屋市名東区",164000,159479,151567,144785,11.7
"名古屋市緑区",247000,239733,227016,216115,12.5
"名古屋市港区",143000,137870,128893,121198,15.2
"名古屋市昭和区",110000,106087,99239,93369,15.1
"名古屋市天白区",163000,157751,148567,140694,13.7
"名古屋市瑞穂区",107000,103365,97003,91550,14.4
"名古屋市熱田区",67000,64232,59389,55238,17.6
"名古屋市中川区",221000,214669,203589,194092,12.2
"名古屋市北区",163000,157385,147560,139138,14.6
"名古屋市西区",150000,144979,136192,128660,14.2
"名古屋市南区",136000,130819,121752,113980,16.2
"名古屋市守山区",176000,170250,160187,151561,13.9
"豊田市",426000,414222,393612,375946,11.7
"岡崎市",386000,371842,347065,325828,15.6
"一宮市",380000,367514,345663,326933,14
"春日井市",312000,299752,278319,259947,16.7
"豊橋市",374000,360507,336893,316653,15.3
"安城市",190000,183309,171600,161564,15
"刈谷市",153000,148740,141284,134894,11.8
"小牧市",149000,143837,134802,127058,14.7
