city,district,year,median_per_sqm,max_per_sqm,min_per_sqm,sample_lines
名古屋市中村区,名駅,2021,1720000,1892000,1548000,1
名古屋市中村区,名駅,2022,1760000,1936000,1584000,1
名古屋市中村区,名駅,2023,1848000,2032800,1663200,1
名古屋市中村区,名駅,2024,1960000,2156000,1764000,1
名古屋市中村区,名駅,2025,2064000,2270400,1857600,1
名古屋市中村区,太閤,2023,228000,250800,205200,1
名古屋市中村区,太閤,2024,234400,257840,210960,1
名古屋市中村区,太閤,2025,241600,265760,217440,1
名古屋市中区,栄,2021,2280000,2508000,2052000,1
名古屋市中区,栄,2022,2336000,2569600,2102400,1
名古屋市中区,栄,2023,2456000,2701600,2210400,1
名古屋市中区,栄,2024,2600000,2860000,2340000,1
名古屋市中区,栄,2025,2728000,3000800,2455200,1
名古屋市中区,丸の内,2023,1344000,1478400,1209600,1
名古屋市中区,丸の内,2024,1400000,1540000,1260000,1
名古屋市中区,丸の内,2025,1456000,1601600,1310400,1
名古屋市東区,東桜,2021,1160000,1276000,1044000,1
名古屋市東区,東桜,2022,1192000,1311200,1072800,1
名古屋市東区,東桜,2023,1248000,1372800,1123200,1
名古屋市東区,東桜,2024,1312000,1443200,1180800,1
名古屋市東区,東桜,2025,1376000,1513600,1238400,1
名古屋市東区,徳川,2023,248000,272800,223200,1
名古屋市東区,徳川,2024,257600,283360,231840,1
名古屋市東区,徳川,2025,268000,294800,241200,1
名古屋市千種区,覚王山,2021,304000,334400,273600,1
名古屋市千種区,覚王山,2022,310400,341440,279360,1
名古屋市千種区,覚王山,2023,321600,353760,289440,1
名古屋市千種区,覚王山,2024,336000,369600,302400,1
名古屋市千種区,覚王山,2025,350400,385440,315360,1
名古屋市名東区,藤が丘,2023,156000,171600,140400,1
名古屋市名東区,藤が丘,2024,160000,176000,144000,1
名古屋市名東区,藤が丘,2025,164800,181280,148320,1
名古屋市緑区,鳴海,2023,102400,112640,92160,1
名古屋市緑区,鳴海,2024,104800,115280,94320,1
名古屋市緑区,鳴海,2025,108000,118800,97200,1
名古屋市港区,港明,2023,113600,124960,102240,1
名古屋市港区,港明,2024,114400,125840,102960,1
名古屋市港区,港明,2025,116000,127600,104400,1
名古屋市昭和区,御器所,2023,236000,259600,212400,1
名古屋市昭和区,御器所,2024,244000,268400,219600,1
名古屋市昭和区,御器所,2025,252800,278080,227520,1
名古屋市天白区,植田,2023,124000,136400,111600,1
名古屋市天白区,植田,2024,126400,139040,113760,1
名古屋市天白区,植田,2025,130400,143440,117360,1
名古屋市瑞穂区,瑞穂通,2023,220000,242000,198000,1
名古屋市瑞穂区,瑞穂通,2024,226400,249040,203760,1
名古屋市瑞穂区,瑞穂通,2025,233600,256960,210240,1
名古屋市熱田区,神宮,2023,416000,457600,374400,1
名古屋市熱田区,神宮,2024,436000,479600,392400,1
名古屋市熱田区,神宮,2025,454400,499840,408960,1
名古屋市中川区,尾頭橋,2023,134400,147840,120960,1
名古屋市中川区,尾頭橋,2024,137600,151360,123840,1
名古屋市中川区,尾頭橋,2025,141600,155760,127440,1
名古屋市北区,黒川,2023,172000,189200,154800,1
名古屋市北区,黒川,2024,177600,195360,159840,1
名古屋市北区,黒川,2025,184000,202400,165600,1
名古屋市西区,浄心,2023,185600,204160,167040,1
名古屋市西区,浄心,2024,192000,211200,172800,1
名古屋市西区,浄心,2025,199200,219120,179280,1
名古屋市南区,道徳,2023,118400,130240,106560,1
名古屋市南区,道徳,2024,120000,132000,108000,1
名古屋市南区,道徳,2025,123200,135520,110880,1
名古屋市守山区,小幡,2023,113600,124960,102240,1
名古屋市守山区,小幡,2024,116000,127600,104400,1
名古屋市守山区,小幡,2025,119200,131120,107280,1
豊田市,挙母,2021,256000,281600,230400,1
豊田市,挙母,2022,260000,286000,234000,1
豊田市,挙母,2023,268000,294800,241200,1
豊田市,挙母,2024,278400,306240,250560,1
豊田市,挙母,2025,289600,318560,260640,1
豊田市,美里,2023,86400,95040,77760,1
豊田市,美里,2025,90400,99440,81360,1
岡崎市,康生,2023,196000,215600,176400,1
岡崎市,康生,2024,201600,221760,181440,1
岡崎市,康生,2025,208800,229680,187920,1
一宮市,栄,2023,158400,174240,142560,1
一宮市,栄,2024,161600,177760,145440,1
一宮市,栄,2025,166400,183040,149760,1
春日井市,鳥居松,2023,108000,118800,97200,1
春日井市,鳥居松,2024,110400,121440,99360,1
春日井市,鳥居松,2025,113600,124960,102240,1
豊橋市,駅前,2023,172000,189200,154800,1
豊橋市,駅前,2024,175200,192720,157680,1
豊橋市,駅前,2025,180000,198000,162000,1
安城市,三河安城,2023,100000,110000,90000,1
安城市,三河安城,2024,103200,113520,92880,1
安城市,三河安城,2025,107200,117920,96480,1
刈谷市,刈谷,2023,228000,250800,205200,1
刈谷市,刈谷,2024,236800,260480,213120,1
刈谷市,刈谷,2025,248000,272800,223200,1
小牧市,小牧,2023,89600,98560,80640,1
小牧市,小牧,2024,91200,100320,82080,1
小牧市,小牧,2025,93600,102960,84240,1
