city,district,elementary_school,junior_high_school,education_score,university_advancement_rate,nearby_school_count,avg_deviation_value
名古屋市千種区,星ヶ丘,星ヶ丘小学校,千種台中学校,88,78.5,6,67
名古屋市千種区,覚王山,田代小学校,城山中学校,85,76.2,5,65
名古屋市千種区,今池,千石小学校,今池中学校,78,72.0,4,62
名古屋市昭和区,八事,八事小学校,桜山中学校,86,77.8,5,66
名古屋市昭和区,御器所,御器所小学校,北山中学校,82,74.5,4,64
名古屋市名東区,藤が丘,藤が丘小学校,藤森中学校,84,75.0,5,65
名古屋市名東区,一社,猪子石小学校,猪高中学校,80,73.2,4,63
名古屋市名東区,高針,高針小学校,神丘中学校,76,70.8,3,61
名古屋市瑞穂区,瑞穂通,汐路小学校,汐路中学校,81,74.0,4,64
名古屋市瑞穂区,堀田,堀田小学校,萩山中学校,75,69.5,3,60
名古屋市東区,東桜,東桜小学校,あずま中学校,79,73.0,5,63
名古屋市東区,泉,東白壁小学校,冨士中学校,77,71.5,4,62
名古屋市中区,丸の内,御園小学校,丸の内中学校,72,70.0,5,60
名古屋市中区,栄,新栄小学校,白山中学校,68,67.5,4,58
名古屋市中村区,名駅,笹島小学校,笹島中学校,62,64.0,4,56
名古屋市中村区,太閤通,日比津小学校,日比津中学校,58,61.5,3,54
名古屋市緑区,鳴海,鳴海小学校,鳴海中学校,70,68.0,4,59
名古屋市緑区,徳重,徳重小学校,神の倉中学校,73,69.8,4,60
名古屋市天白区,植田,植田小学校,植田中学校,74,70.2,4,61
名古屋市天白区,原,原小学校,原中学校,71,68.5,3,59
名古屋市熱田区,神宮西,旗屋小学校,沢上中学校,63,63.0,3,55
名古屋市北区,黒川,六郷小学校,北中学校,65,64.5,4,56
名古屋市北区,大曽根,大杉小学校,大曽根中学校,64,63.8,3,56
名古屋市西区,上小田井,上小田井小学校,平田中学校,69,67.0,4,58
名古屋市守山区,小幡,小幡小学校,守山東中学校,66,65.0,3,57
名古屋市守山区,志段味,志段味東小学校,志段味中学校,60,62.0,2,54
名古屋市南区,笠寺,笠寺小学校,南光中学校,52,58.5,3,50
名古屋市南区,道徳,道徳小学校,南陽中学校,50,56.0,2,48
名古屋市港区,港北,港西小学校,港北中学校,48,55.0,2,47
名古屋市港区,南陽,南陽小学校,南陽中学校,45,53.0,2,46
名古屋市中川区,高畑,常磐小学校,一柳中学校,53,59.0,3,51
名古屋市中川区,尾頭橋,野立小学校,山王中学校,51,57.5,2,50
豊田市,豊田市駅周辺,元城小学校,崇化館中学校,72,69.0,4,60
豊田市,三好,三好丘小学校,三好丘中学校,68,66.5,3,58
岡崎市,東岡崎,連尺小学校,甲山中学校,70,68.0,4,59
岡崎市,岩津,岩津小学校,岩津中学校,62,63.5,3,55
一宮市,一宮駅周辺,大志小学校,南部中学校,65,64.8,4,56
春日井市,春日井駅周辺,鳥居松小学校,中部中学校,66,65.5,3,57
豊橋市,豊橋駅周辺,松山小学校,豊城中学校,64,64.0,4,56
安城市,安城駅周辺,安城中部小学校,安城南中学校,67,66.0,3,57
刈谷市,刈谷駅周辺,刈谷南小学校,刈谷南中学校,69,67.5,3,58
小牧市,小牧駅周辺,小牧小学校,小牧中学校,63,63.0,3,55
