year,quarter,city,district,property_type,area_sqm,price_total,price_per_sqm,building_year,structure,use
2020,Q1,名古屋市中区,栄,commercial,85,298000000,3505882,2018,SRC,店舗
2020,Q2,名古屋市中区,栄,office,120,456000000,3800000,2015,SRC,事務所
2020,Q3,名古屋市中村区,名駅,office,200,680000000,3400000,2017,SRC,事務所
2020,Q4,名古屋市中村区,名駅,commercial,65,195000000,3000000,2010,RC,店舗
2021,Q1,名古屋市中区,丸の内,office,150,270000000,1800000,2008,SRC,事務所
2021,Q1,名古屋市東区,東桜,office,95,142500000,1500000,2012,RC,事務所
2021,Q2,名古屋市千種区,覚王山,residential,165,72600000,440000,2019,RC,共同住宅
2021,Q2,名古屋市中区,栄,commercial,45,157500000,3500000,2020,SRC,店舗
2021,Q3,名古屋市昭和区,御器所,residential,110,38500000,350000,2005,木造,戸建住宅
2021,Q3,名古屋市名東区,藤が丘,residential,185,40700000,220000,2001,木造,戸建住宅
2021,Q4,名古屋市中村区,太閤,residential,75,24000000,320000,2015,RC,共同住宅
2021,Q4,名古屋市瑞穂区,瑞穂通,residential,130,42900000,330000,2010,RC,共同住宅
2022,Q1,名古屋市中区,栄,commercial,110,385000000,3500000,2019,SRC,店舗・事務所
2022,Q1,名古屋市中村区,名駅,office,180,630000000,3500000,2020,SRC,事務所
2022,Q2,名古屋市東区,東桜,commercial,70,112000000,1600000,2016,SRC,店舗
2022,Q2,名古屋市千種区,今池,residential,80,33600000,420000,2018,RC,共同住宅
2022,Q3,名古屋市熱田区,神宮,commercial,90,54000000,600000,2005,RC,店舗
2022,Q3,名古屋市北区,黒川,residential,95,24700000,260000,2012,RC,共同住宅
2022,Q4,名古屋市西区,浄心,residential,120,33600000,280000,2008,RC,共同住宅
2022,Q4,名古屋市中川区,尾頭橋,residential,140,28000000,200000,2003,木造,戸建住宅
2023,Q1,名古屋市中区,栄,commercial,95,342000000,3600000,2021,SRC,店舗
2023,Q1,名古屋市中村区,名駅,office,250,925000000,3700000,2022,SRC,事務所
2023,Q1,名古屋市東区,泉,office,85,136000000,1600000,2018,SRC,事務所
2023,Q2,名古屋市中区,丸の内,office,130,253500000,1950000,2015,SRC,事務所
2023,Q2,名古屋市千種区,覚王山,residential,155,77500000,500000,2022,RC,共同住宅
2023,Q2,名古屋市昭和区,御器所,residential,95,36100000,380000,2020,RC,共同住宅
2023,Q3,名古屋市中村区,太閤,residential,70,25200000,360000,2018,RC,共同住宅
2023,Q3,名古屋市名東区,藤が丘,residential,200,48000000,240000,2005,木造,戸建住宅
2023,Q3,名古屋市緑区,鳴海,residential,175,26250000,150000,2000,木造,戸建住宅
2023,Q4,名古屋市港区,港明,industrial,500,82500000,165000,1998,S,倉庫
2023,Q4,名古屋市天白区,植田,residential,160,28800000,180000,2002,木造,戸建住宅
2023,Q4,名古屋市守山区,小幡,residential,170,27200000,160000,1999,木造,戸建住宅
2024,Q1,名古屋市中区,栄,commercial,100,380000000,3800000,2023,SRC,店舗・事務所
2024,Q1,名古屋市中村区,名駅,commercial,75,285000000,3800000,2022,SRC,店舗
2024,Q1,名古屋市東区,東桜,office,110,187000000,1700000,2019,SRC,事務所
2024,Q1,名古屋市千種区,今池,commercial,60,48000000,800000,2017,RC,店舗
2024,Q2,名古屋市中区,丸の内,office,160,336000000,2100000,2020,SRC,事務所
2024,Q2,名古屋市昭和区,御器所,residential,85,37400000,440000,2023,RC,共同住宅
2024,Q2,名古屋市瑞穂区,瑞穂通,residential,110,39600000,360000,2015,RC,共同住宅
2024,Q3,名古屋市中村区,太閤,residential,65,26000000,400000,2021,RC,共同住宅
2024,Q3,名古屋市北区,黒川,residential,100,29000000,290000,2018,RC,共同住宅
2024,Q3,名古屋市西区,浄心,residential,115,36800000,320000,2016,RC,共同住宅
2024,Q3,名古屋市熱田区,神宮,commercial,80,52000000,650000,2010,RC,店舗
2024,Q4,名古屋市南区,道徳,residential,150,25500000,170000,2001,木造,戸建住宅
2024,Q4,名古屋市中川区,尾頭橋,residential,130,29900000,230000,2010,木造,戸建住宅
2024,Q4,名古屋市港区,港明,logistics,800,136000000,170000,2005,S,倉庫・物流
2024,Q4,名古屋市守山区,小幡,residential,180,30600000,170000,2003,木造,戸建住宅
2025,Q1,名古屋市中区,栄,commercial,90,360000000,4000000,2024,SRC,店舗
2025,Q1,名古屋市中村区,名駅,office,220,880000000,4000000,2024,SRC,事務所
2025,Q1,名古屋市東区,泉,office,100,175000000,1750000,2020,SRC,事務所
2025,Q1,名古屋市千種区,覚王山,residential,140,75600000,540000,2024,RC,共同住宅
2025,Q2,名古屋市中区,丸の内,office,140,308000000,2200000,2022,SRC,事務所
2025,Q2,名古屋市昭和区,御器所,residential,100,44000000,440000,2023,RC,共同住宅
2025,Q2,名古屋市名東区,藤が丘,residential,190,49400000,260000,2010,木造,戸建住宅
2025,Q2,名古屋市天白区,植田,residential,165,33000000,200000,2008,木造,戸建住宅
2020,Q1,豊田市,挙母,commercial,120,42000000,350000,2010,RC,店舗
2020,Q3,豊田市,美里,residential,200,24000000,120000,1998,木造,戸建住宅
2021,Q2,豊田市,挙母,commercial,100,38000000,380000,2015,RC,店舗
2022,Q1,豊田市,美里,residential,180,23400000,130000,2005,木造,戸建住宅
2022,Q4,豊田市,挙母,office,90,36000000,400000,2018,SRC,事務所
2023,Q2,豊田市,挙母,commercial,110,44000000,400000,2019,RC,店舗
2023,Q4,豊田市,美里,residential,195,27300000,140000,2010,木造,戸建住宅
2024,Q2,豊田市,挙母,office,85,38250000,450000,2021,SRC,事務所
2024,Q4,豊田市,美里,residential,185,28675000,155000,2012,木造,戸建住宅
2025,Q1,豊田市,挙母,commercial,95,45125000,475000,2023,RC,店舗
2020,Q2,岡崎市,康生,commercial,80,20800000,260000,2008,RC,店舗
2021,Q3,岡崎市,康生,commercial,95,26600000,280000,2012,RC,店舗
2022,Q2,岡崎市,明大寺,residential,170,23800000,140000,2005,木造,戸建住宅
2023,Q1,岡崎市,康生,commercial,75,22500000,300000,2018,RC,店舗
2023,Q4,岡崎市,明大寺,residential,160,25600000,160000,2010,木造,戸建住宅
2024,Q2,岡崎市,康生,office,100,32000000,320000,2020,RC,事務所
2024,Q4,岡崎市,明大寺,residential,155,26350000,170000,2015,木造,戸建住宅
2025,Q1,岡崎市,康生,commercial,85,29750000,350000,2022,RC,店舗
2020,Q3,一宮市,栄,commercial,70,14700000,210000,2005,RC,店舗
2021,Q4,一宮市,栄,residential,150,19500000,130000,2002,木造,戸建住宅
2022,Q3,一宮市,栄,commercial,65,15600000,240000,2012,RC,店舗
2023,Q2,一宮市,栄,residential,165,23100000,140000,2008,木造,戸建住宅
2024,Q1,一宮市,栄,commercial,80,20000000,250000,2018,RC,店舗
2025,Q1,一宮市,栄,residential,155,24025000,155000,2015,木造,戸建住宅
2020,Q4,春日井市,鳥居松,residential,180,23400000,130000,2003,木造,戸建住宅
2021,Q3,春日井市,鳥居松,residential,175,24500000,140000,2008,木造,戸建住宅
2022,Q4,春日井市,鳥居松,residential,165,24750000,150000,2012,木造,戸建住宅
2023,Q3,春日井市,鳥居松,residential,190,28500000,150000,2010,木造,戸建住宅
2024,Q2,春日井市,鳥居松,residential,170,27200000,160000,2015,木造,戸建住宅
2025,Q1,春日井市,鳥居松,residential,160,27200000,170000,2020,木造,戸建住宅
2020,Q2,豊橋市,駅前,commercial,75,16500000,220000,2005,RC,店舗
2021,Q4,豊橋市,駅前,commercial,90,21600000,240000,2010,RC,店舗
2022,Q3,豊橋市,駅前,commercial,85,21250000,250000,2015,RC,店舗
2023,Q1,豊橋市,駅前,office,100,27000000,270000,2018,RC,事務所
2024,Q2,豊橋市,駅前,commercial,70,20300000,290000,2020,RC,店舗
2025,Q1,豊橋市,駅前,office,110,33000000,300000,2022,SRC,事務所
2020,Q3,安城市,三河安城,residential,180,21600000,120000,2002,木造,戸建住宅
2021,Q2,安城市,三河安城,residential,175,24500000,140000,2008,木造,戸建住宅
2022,Q4,安城市,三河安城,residential,165,24750000,150000,2012,木造,戸建住宅
2023,Q3,安城市,三河安城,residential,170,27200000,160000,2018,木造,戸建住宅
2024,Q1,安城市,三河安城,residential,160,27200000,170000,2020,木造,戸建住宅
2025,Q2,安城市,三河安城,residential,155,27900000,180000,2022,木造,戸建住宅
2020,Q4,刈谷市,刈谷,commercial,85,25500000,300000,2010,RC,店舗
2021,Q3,刈谷市,刈谷,commercial,90,29700000,330000,2015,RC,店舗
2022,Q2,刈谷市,刈谷,office,100,36000000,360000,2018,SRC,事務所
2023,Q4,刈谷市,刈谷,commercial,75,30000000,400000,2020,RC,店舗
2024,Q3,刈谷市,刈谷,office,110,46200000,420000,2022,SRC,事務所
2025,Q1,刈谷市,刈谷,commercial,80,36000000,450000,2023,RC,店舗
2020,Q1,小牧市,小牧,residential,190,20900000,110000,2000,木造,戸建住宅
2021,Q2,小牧市,小牧,residential,185,22200000,120000,2005,木造,戸建住宅
2022,Q3,小牧市,小牧,logistics,600,84000000,140000,2008,S,倉庫・物流
2023,Q1,小牧市,小牧,residential,175,22750000,130000,2010,木造,戸建住宅
2023,Q4,小牧市,小牧,logistics,750,112500000,150000,2015,S,倉庫・物流
2024,Q2,小牧市,小牧,residential,170,23800000,140000,2015,木造,戸建住宅
2024,Q4,小牧市,小牧,logistics,900,144000000,160000,2020,S,倉庫・物流
2025,Q1,小牧市,小牧,residential,165,24750000,150000,2020,木造,戸建住宅
2020,Q2,名古屋市港区,金城ふ頭,logistics,1200,180000000,150000,2008,S,倉庫・物流
2021,Q4,名古屋市港区,金城ふ頭,logistics,1500,240000000,160000,2012,S,倉庫・物流
2022,Q3,名古屋市港区,港明,logistics,800,136000000,170000,2015,S,倉庫・物流
2023,Q2,名古屋市港区,金城ふ頭,logistics,1000,180000000,180000,2018,S,倉庫・物流
2024,Q1,名古屋市港区,金城ふ頭,logistics,1100,209000000,190000,2020,S,倉庫・物流
2025,Q1,名古屋市港区,金城ふ頭,logistics,950,190000000,200000,2022,S,倉庫・物流
2020,Q3,名古屋市緑区,鳴海,residential,200,28000000,140000,1998,木造,戸建住宅
2022,Q1,名古屋市緑区,有松,residential,185,29600000,160000,2005,木造,戸建住宅
2024,Q1,名古屋市緑区,鳴海,residential,175,30625000,175000,2012,木造,戸建住宅
2025,Q2,名古屋市緑区,有松,residential,170,32300000,190000,2018,木造,戸建住宅
2021,Q1,名古屋市天白区,植田,residential,155,26350000,170000,2005,木造,戸建住宅
2023,Q1,名古屋市天白区,原,residential,170,28900000,170000,2008,木造,戸建住宅
2024,Q3,名古屋市天白区,植田,residential,160,30400000,190000,2015,木造,戸建住宅
2025,Q1,名古屋市天白区,原,residential,150,31500000,210000,2020,木造,戸建住宅
2020,Q1,名古屋市中区,伏見,office,180,306000000,1700000,2014,SRC,事務所
2020,Q2,名古屋市中区,大須,commercial,60,108000000,1800000,2016,RC,店舗
2020,Q3,名古屋市昭和区,八事,residential,145,75400000,520000,2018,RC,共同住宅
2020,Q4,名古屋市千種区,今池,commercial,70,35000000,500000,2012,RC,店舗
2020,Q4,長久手市,長久手,residential,200,38000000,190000,2015,木造,戸建住宅
2021,Q1,名古屋市中区,伏見,office,140,238000000,1700000,2010,SRC,事務所
2021,Q2,名古屋市中区,大須,commercial,55,99000000,1800000,2019,SRC,店舗
2021,Q2,名古屋市昭和区,八事,residential,150,82500000,550000,2020,RC,共同住宅
2021,Q3,名古屋市千種区,今池,commercial,75,41250000,550000,2015,RC,店舗
2021,Q4,長久手市,長久手,residential,210,42000000,200000,2018,木造,戸建住宅
2022,Q1,名古屋市中区,伏見,office,160,296000000,1850000,2016,SRC,事務所
2022,Q2,名古屋市中区,大須,commercial,65,117000000,1800000,2020,SRC,店舗
2022,Q3,名古屋市昭和区,八事,residential,135,81000000,600000,2022,RC,共同住宅
2022,Q4,名古屋市千種区,今池,commercial,80,48000000,600000,2018,RC,店舗
