city,district,station_name,line,daily_passengers,walk_min_to_center,station_type
名古屋市中村区,名駅,名古屋,JR東海道新幹線,410000,0,jr
名古屋市中村区,名駅,名古屋,JR東海道本線,410000,0,jr
名古屋市中村区,名駅,名古屋,名古屋市営地下鉄東山線,320000,2,subway
名古屋市中村区,名駅,名古屋,名古屋市営地下鉄桜通線,180000,3,subway
名古屋市中村区,名駅,名鉄名古屋,名鉄名古屋本線,280000,3,private
名古屋市中村区,名駅,近鉄名古屋,近鉄名古屋線,120000,5,private
名古屋市中区,栄,栄,名古屋市営地下鉄東山線,250000,0,subway
名古屋市中区,栄,栄,名古屋市営地下鉄名城線,250000,0,subway
名古屋市中区,丸の内,丸の内,名古屋市営地下鉄鶴舞線,55000,0,subway
名古屋市中区,丸の内,丸の内,名古屋市営地下鉄桜通線,55000,0,subway
名古屋市中区,金山,金山,JR東海道本線,180000,0,jr
名古屋市中区,金山,金山,名古屋市営地下鉄名城線,180000,1,subway
名古屋市中区,金山,金山,名鉄名古屋本線,180000,2,private
名古屋市中区,大須,上前津,名古屋市営地下鉄名城線,42000,0,subway
名古屋市中区,大須,上前津,名古屋市営地下鉄鶴舞線,42000,0,subway
名古屋市千種区,千種,千種,JR中央本線,65000,0,jr
名古屋市千種区,千種,千種,名古屋市営地下鉄東山線,65000,1,subway
名古屋市千種区,今池,今池,名古屋市営地下鉄東山線,48000,0,subway
名古屋市千種区,今池,今池,名古屋市営地下鉄桜通線,48000,0,subway
名古屋市千種区,星ヶ丘,星ヶ丘,名古屋市営地下鉄東山線,52000,0,subway
名古屋市東区,大曽根,大曽根,JR中央本線,45000,0,jr
名古屋市東区,大曽根,大曽根,名古屋市営地下鉄名城線,45000,1,subway
名古屋市東区,大曽根,大曽根,名鉄瀬戸線,45000,2,private
名古屋市熱田区,熱田,熱田,JR東海道本線,28000,0,jr
名古屋市熱田区,熱田,神宮前,名鉄名古屋本線,35000,3,private
名古屋市港区,港区役所前,港区役所,名古屋市営地下鉄名港線,15000,0,subway
名古屋市緑区,鳴海,鳴海,名鉄名古屋本線,22000,0,private
名古屋市緑区,徳重,徳重,名古屋市営地下鉄桜通線,32000,0,subway
名古屋市西区,浄心,浄心,名古屋市営地下鉄鶴舞線,25000,0,subway
名古屋市天白区,植田,植田,名古屋市営地下鉄鶴舞線,28000,0,subway
名古屋市天白区,原,原,名古屋市営地下鉄鶴舞線,35000,0,subway
名古屋市瑞穂区,瑞穂区役所,瑞穂区役所,名古屋市営地下鉄桜通線,18000,0,subway
名古屋市昭和区,御器所,御器所,名古屋市営地下鉄鶴舞線,38000,0,subway
名古屋市昭和区,御器所,御器所,名古屋市営地下鉄桜通線,38000,0,subway
名古屋市中川区,高畑,高畑,名古屋市営地下鉄東山線,42000,0,subway
名古屋市名東区,藤が丘,藤が丘,名古屋市営地下鉄東山線,58000,0,subway
名古屋市名東区,藤が丘,藤が丘,リニモ,58000,1,private
名古屋市守山区,新守山,新守山,JR中央本線,18000,0,jr
豊田市,豊田市駅,豊田市,名鉄三河線,35000,0,private
豊橋市,豊橋駅,豊橋,JR東海道本線,52000,0,jr
豊橋市,豊橋駅,豊橋,名鉄名古屋本線,52000,1,private
岡崎市,東岡崎,東岡崎,名鉄名古屋本線,28000,0,private
一宮市,一宮駅,名鉄一宮,名鉄名古屋本線,42000,0,private
一宮市,一宮駅,尾張一宮,JR東海道本線,38000,2,jr
春日井市,春日井駅,春日井,JR中央本線,28000,0,jr
