city,total_housing,total_vacant,vacancy_rate,for_rent,for_sale,other_vacant
"あま市",37852,5110,13.5,20,650,0
"みよし市",18444,2490,13.5,0,1100,0
"阿久比町",7111,960,13.5,0,20,0
"愛西市",17185,2320,13.5,10,80,0
"安城市",39630,5350,13.5,80,610,0
"一宮市",125333,16920,13.5,140,1110,0
"稲沢市",46963,6340,13.5,310,130,0
"岡崎市",94000,12690,13.5,30,1150,0
"蟹江町",14148,1910,13.5,50,300,0
"蒲郡市",31556,4260,13.5,60,140,0
"刈谷市",37556,5070,13.5,10,830,0
"岩倉市",17259,2330,13.5,60,90,0
"犬山市",28370,3830,13.5,80,240,0
"幸田町",7556,1020,13.5,40,90,0
"江南市",28889,3900,13.5,60,230,0
"港区",57407,7750,13.5,190,680,0
"高浜市",12667,1710,13.5,170,190,0
"守山区",70000,9450,13.5,120,1190,0
"春日井市",121852,16450,13.5,160,2280,0
"小牧市",51333,6930,13.5,480,170,0
"昭和区",62074,8380,13.5,110,1340,0
"常滑市",27111,3660,13.5,0,410,0
"新城市",22667,3060,13.5,50,80,0
"瑞穂区",50741,6850,13.5,290,810,0
"瀬戸市",52519,7090,13.5,50,440,0
"清須市",30074,4060,13.5,140,380,0
"西区",83778,11310,13.5,50,660,0
"西尾市",54222,7320,13.5,80,400,0
"千種区",96370,13010,13.5,790,3010,0
"大口町",4444,600,13.5,0,0,0
"大治町",15407,2080,13.5,0,170,0
"大府市",25407,3430,13.5,0,270,0
"知多市",30741,4150,13.5,290,480,0
"知立市",23852,3220,13.5,110,750,0
"中区",80296,10840,13.5,0,540,0
"中川区",101333,13680,13.5,130,1090,0
"中村区",87556,11820,13.5,80,210,0
"長久手市",19481,2630,13.5,10,140,0
"津島市",27407,3700,13.5,0,120,0
"天白区",79333,10710,13.5,190,1060,0
"田原市",12593,1700,13.5,0,320,0
"東浦町",11926,1610,13.5,0,70,0
"東海市",34593,4670,13.5,60,370,0
"東郷町",11630,1570,13.5,10,100,0
"東区",52815,7130,13.5,340,890,0
"南区",79111,10680,13.5,470,550,0
"南知多町",13037,1760,13.5,0,0,0
"日進市",32222,4350,13.5,10,600,0
"熱田区",34074,4600,13.5,50,440,0
"半田市",53259,7190,13.5,110,1500,0
"尾張旭市",25185,3400,13.5,0,320,0
"美浜町",15259,2060,13.5,0,0,0
"扶桑町",5852,790,13.5,0,0,0
"武豊町",14444,1950,13.5,0,70,0
"碧南市",22741,3070,13.5,120,90,0
"豊橋市",159333,21510,13.5,640,1010,0
"豊山町",7481,1010,13.5,20,110,0
"豊川市",68963,9310,13.5,60,840,0
"豊田市",116519,15730,13.5,380,710,0
"豊明市",22370,3020,13.5,0,540,0
"北区",88444,11940,13.5,150,990,0
"北名古屋市",29630,4000,13.5,30,370,0
"名古屋市",1162222,156900,13.5,3100,15600,0
"名東区",77333,10440,13.5,150,760,0
"弥富市",13259,1790,13.5,20,200,0
"緑区",62000,8370,13.5,0,1360,0
