city,district,zone_type,coverage_ratio,floor_area_ratio,height_limit
"名古屋市中区","栄","商業地域",80,400,
"名古屋市中村区","名駅","商業地域",80,400,
"名古屋市中区","丸の内","商業地域",80,400,
"名古屋市東区","東桜","商業地域",80,400,
"名古屋市千種区","覚王山","第1種低層住居専用地域",50,100,10
"名古屋市昭和区","御器所","第1種低層住居専用地域",50,100,10
"名古屋市名東区","藤が丘","第1種低層住居専用地域",50,100,10
"名古屋市中村区","太閤","第1種低層住居専用地域",50,100,10
"名古屋市瑞穂区","瑞穂通","第1種低層住居専用地域",50,100,10
"名古屋市千種区","今池","第2種住居地域",60,200,
"名古屋市熱田区","神宮","商業地域",80,400,
"名古屋市北区","黒川","第1種低層住居専用地域",50,100,10
"名古屋市西区","浄心","第1種低層住居専用地域",50,100,10
"名古屋市中川区","尾頭橋","第1種低層住居専用地域",50,100,10
"名古屋市東区","泉","商業地域",80,400,
"名古屋市緑区","鳴海","第1種低層住居専用地域",50,100,10
"名古屋市港区","港明","第1種中高層住居専用地域",60,200,
"名古屋市天白区","植田","第1種低層住居専用地域",50,100,10
"名古屋市守山区","小幡","第1種低層住居専用地域",50,100,10
"名古屋市南区","道徳","第1種低層住居専用地域",50,100,10
"豊田市","挙母","商業地域",80,400,
"豊田市","美里","第1種低層住居専用地域",50,100,10
"岡崎市","康生","商業地域",80,400,
"岡崎市","明大寺","第1種低層住居専用地域",50,100,10
"一宮市","栄","第2種住居地域",60,200,
"春日井市","鳥居松","第1種低層住居専用地域",50,100,10
"豊橋市","駅前","商業地域",80,400,
"安城市","三河安城","第1種低層住居専用地域",50,100,10
"刈谷市","刈谷","商業地域",80,400,
"小牧市","小牧","第1種住居地域",60,200,
"名古屋市港区","金城ふ頭","第1種中高層住居専用地域",60,200,
"名古屋市緑区","有松","第1種低層住居専用地域",50,100,10
"名古屋市天白区","原","第1種低層住居専用地域",50,100,10
"名古屋市中区","伏見","第1種中高層住居専用地域",60,200,
