city,district,total_establishments,major_company_count,employee_total,avg_commute_minutes,top_industry,industry_share,office_vacancy_rate
千葉市中央区,千葉駅周辺,4850,45,68200,42,卸売・小売業,0.28,0.12
千葉市中央区,千葉ポートタウン,320,8,4500,38,製造業,0.35,0.08
千葉市花見川区,幕張新都心,1250,85,52000,40,情報通信業,0.32,0.15
千葉市美浜区,海浜幕張,780,62,38000,38,情報通信業,0.3,0.13
船橋市,船橋駅周辺,5200,52,75000,38,卸売・小売業,0.3,0.1
船橋市,西船橋,2100,18,28000,42,サービス業,0.25,0.09
船橋市,浜町,450,22,18500,45,製造業,0.42,0.06
松戸市,松戸駅周辺,3800,28,48000,40,卸売・小売業,0.27,0.11
柏市,柏駅周辺,4200,38,58000,42,卸売・小売業,0.29,0.09
柏市,柏の葉キャンパス,380,42,15000,38,情報通信業,0.38,0.18
市川市,本八幡,3500,30,42000,36,卸売・小売業,0.26,0.1
市川市,行徳,1800,12,22000,38,サービス業,0.28,0.08
浦安市,新浦安,1200,15,18000,35,サービス業,0.32,0.07
浦安市,舞浜,250,8,22000,30,宿泊・飲食サービス業,0.65,0.02
成田市,成田駅周辺,1850,22,28000,25,運輸・郵便業,0.35,0.08
成田市,空港周辺,620,48,45000,20,航空・物流業,0.55,0.05
木更津市,木更津駅周辺,1500,12,18000,48,製造業,0.3,0.12
木更津市,金田,280,8,8500,50,卸売・小売業,0.35,0.1
流山市,流山おおたかの森,820,18,12000,40,サービス業,0.3,0.15
習志野市,津田沼,2800,25,35000,38,卸売・小売業,0.28,0.09
