city,district,weekday_avg_flow,weekend_avg_flow,avg_stay_minutes,peak_hour,flow_trend,year
千葉市中央区,千葉駅周辺,285000,320000,85,8-9,stable,2023
千葉市中央区,千葉中央,120000,145000,65,12-13,stable,2023
千葉市花見川区,幕張本郷,95000,108000,55,8-9,stable,2023
千葉市花見川区,幕張新都心,145000,230000,120,13-14,increasing,2023
千葉市美浜区,海浜幕張,180000,250000,140,11-12,increasing,2023
船橋市,船橋駅周辺,320000,370000,75,8-9,stable,2023
船橋市,西船橋,215000,195000,45,8-9,stable,2023
船橋市,津田沼,195000,240000,90,11-12,stable,2023
松戸市,松戸駅周辺,210000,225000,70,8-9,decreasing,2023
松戸市,新松戸,98000,88000,42,8-9,stable,2023
柏市,柏駅周辺,245000,280000,95,11-12,stable,2023
柏市,柏の葉キャンパス,65000,85000,80,12-13,increasing,2023
市川市,市川駅周辺,130000,148000,60,8-9,stable,2023
市川市,本八幡,195000,215000,75,12-13,stable,2023
浦安市,舞浜,85000,420000,480,11-12,increasing,2023
浦安市,新浦安,72000,95000,65,8-9,stable,2023
浦安市,浦安駅周辺,110000,125000,55,8-9,stable,2023
成田市,成田駅周辺,75000,95000,110,10-11,stable,2023
成田市,空港第1ターミナル,95000,118000,185,9-10,increasing,2023
木更津市,三井アウトレットパーク周辺,38000,120000,195,13-14,stable,2023
流山市,流山おおたかの森,88000,110000,85,8-9,increasing,2023
