city,population,households,area_km2,density,year,change_rate
千葉市中央区,195230,105800,44.84,4353,2023,-0.3
千葉市花見川区,183450,93200,34.01,5394,2023,-0.5
千葉市稲毛区,160320,82400,21.22,7555,2023,-0.4
千葉市若葉区,149870,72100,84.21,1780,2023,-0.8
千葉市緑区,117680,58300,66.23,1777,2023,-0.2
千葉市美浜区,155120,83600,21.26,7298,2023,0.1
船橋市,641673,326400,85.7,7487,2023,0.3
松戸市,495303,254700,61.39,8068,2023,-0.1
柏市,431102,208900,114.74,3757,2023,0.2
市川市,494697,261300,57.45,8611,2023,0.1
浦安市,174475,91200,16.98,10275,2023,0.5
成田市,131389,60100,213.84,614,2023,0.4
木更津市,136069,64800,138.81,980,2023,0.6
習志野市,175213,86900,20.99,8348,2023,0.2
我孫子市,127894,61200,43.19,2962,2023,-0.9
流山市,200215,96400,35.34,5664,2023,1.8
八千代市,198234,91700,51.36,3859,2023,0.1
鎌ケ谷市,108234,51800,21.07,5137,2023,-0.2
