city,pop_2020,pop_2030,pop_2040,pop_2050,decline_rate_2050
"千葉市中央区",195230,188548,176855,166832,14.5
"千葉市花見川区",183450,177030,165795,156164,14.9
"千葉市稲毛区",160320,156148,148846,142587,11.1
"千葉市若葉区",149870,145337,137405,130606,12.9
"千葉市緑区",117680,113808,107032,101225,14
"千葉市美浜区",155120,150290,141837,134591,13.2
"船橋市",641673,616221,571681,533504,16.9
"松戸市",495303,480718,455194,433316,12.5
"柏市",431102,416543,391064,369225,14.4
"市川市",494697,478996,451520,427968,13.5
"浦安市",174475,169240,160080,152227,12.8
"成田市",131389,126919,119096,112391,14.5
"木更津市",136069,131760,124221,117758,13.5
"習志野市",175213,170682,162751,155954,11
"我孫子市",127894,124074,117390,111660,12.7
"流山市",200215,194621,184832,176442,11.9
"八千代市",198234,191576,179925,169938,14.3
"鎌ケ谷市",108234,105141,99728,95088,12.1
