city,district,year,median_per_sqm,max_per_sqm,min_per_sqm,sample_lines
千葉市中央区,千葉駅周辺,2020,160000,176000,144000,1
千葉市中央区,千葉駅周辺,2021,160479,176527,144431,1
千葉市中央区,千葉駅周辺,2022,161119,177231,145007,1
千葉市中央区,千葉駅周辺,2023,161920,178112,145728,1
千葉市中央区,千葉駅周辺,2024,162880,179168,146592,1
千葉市中央区,市役所周辺,2020,128000,140800,115200,1
千葉市中央区,市役所周辺,2021,128383,141221,115545,1
千葉市中央区,市役所周辺,2022,128895,141785,116006,1
千葉市中央区,市役所周辺,2023,129536,142490,116582,1
千葉市中央区,市役所周辺,2024,130304,143334,117274,1
千葉市花見川区,幕張本郷,2020,120000,132000,108000,1
千葉市花見川区,幕張本郷,2021,120359,132395,108323,1
千葉市花見川区,幕張本郷,2022,120839,132923,108755,1
千葉市花見川区,幕張本郷,2023,121440,133584,109296,1
千葉市花見川区,幕張本郷,2024,122160,134376,109944,1
千葉市花見川区,幕張新都心,2020,176000,193600,158400,1
千葉市花見川区,幕張新都心,2021,176527,194180,158874,1
千葉市花見川区,幕張新都心,2022,177231,194954,159508,1
千葉市花見川区,幕張新都心,2023,178112,195923,160301,1
千葉市花見川区,幕張新都心,2024,179168,197085,161251,1
船橋市,船橋駅周辺,2020,168000,184800,151200,1
船橋市,船橋駅周辺,2021,168503,185353,151653,1
船橋市,船橋駅周辺,2022,169175,186093,152258,1
船橋市,船橋駅周辺,2023,170016,187018,153014,1
船橋市,船橋駅周辺,2024,171024,188126,153922,1
船橋市,西船橋,2020,140000,154000,126000,1
船橋市,西船橋,2021,140419,154461,126377,1
船橋市,西船橋,2022,140979,155077,126881,1
船橋市,西船橋,2023,141680,155848,127512,1
船橋市,西船橋,2024,142520,156772,128268,1
松戸市,松戸駅周辺,2020,148000,162800,133200,1
松戸市,松戸駅周辺,2021,148443,163287,133599,1
松戸市,松戸駅周辺,2022,149035,163939,134132,1
松戸市,松戸駅周辺,2023,149776,164754,134798,1
松戸市,松戸駅周辺,2024,150664,165730,135598,1
松戸市,新松戸,2020,104000,114400,93600,1
松戸市,新松戸,2021,104311,114742,93880,1
松戸市,新松戸,2022,104727,115200,94254,1
松戸市,新松戸,2023,105248,115773,94723,1
松戸市,新松戸,2024,105872,116459,95285,1
柏市,柏駅周辺,2020,156000,171600,140400,1
柏市,柏駅周辺,2021,156467,172114,140820,1
柏市,柏駅周辺,2022,157091,172800,141382,1
柏市,柏駅周辺,2023,157872,173659,142085,1
柏市,柏駅周辺,2024,158808,174689,142927,1
柏市,南柏,2020,108000,118800,97200,1
柏市,南柏,2021,108323,119155,97491,1
柏市,南柏,2022,108756,119632,97880,1
柏市,南柏,2023,109296,120226,98366,1
柏市,南柏,2024,109944,120938,98950,1
市川市,市川駅周辺,2020,160000,176000,144000,1
市川市,市川駅周辺,2021,160479,176527,144431,1
市川市,市川駅周辺,2022,161119,177231,145007,1
市川市,市川駅周辺,2023,161920,178112,145728,1
市川市,市川駅周辺,2024,162880,179168,146592,1
市川市,本八幡,2020,156000,171600,140400,1
市川市,本八幡,2021,156467,172114,140820,1
市川市,本八幡,2022,157091,172800,141382,1
市川市,本八幡,2023,157872,173659,142085,1
市川市,本八幡,2024,158808,174689,142927,1
浦安市,新浦安,2020,280000,308000,252000,1
浦安市,新浦安,2021,280839,308923,252755,1
浦安市,新浦安,2022,281959,310155,253763,1
浦安市,新浦安,2023,283360,311696,255024,1
浦安市,新浦安,2024,285040,313544,256536,1
浦安市,舞浜,2020,304000,334400,273600,1
浦安市,舞浜,2021,304911,335402,274420,1
浦安市,舞浜,2022,306127,336740,275514,1
浦安市,舞浜,2023,307648,338413,276883,1
浦安市,舞浜,2024,309472,340419,278525,1
成田市,成田駅周辺,2020,96000,105600,86400,1
成田市,成田駅周辺,2021,96287,105916,86658,1
成田市,成田駅周辺,2022,96671,106338,87004,1
成田市,成田駅周辺,2023,97152,106867,87437,1
成田市,成田駅周辺,2024,97728,107501,87955,1
成田市,空港周辺,2020,80000,88000,72000,1
成田市,空港周辺,2021,80239,88263,72215,1
成田市,空港周辺,2022,80559,88615,72503,1
成田市,空港周辺,2023,80960,89056,72864,1
成田市,空港周辺,2024,81440,89584,73296,1
