city,total_housing,total_vacant,vacancy_rate,for_rent,for_sale,other_vacant
"いすみ市",39704,5360,13.5,0,0,0
"旭市",26741,3610,13.5,50,30,0
"稲毛区",63556,8580,13.5,120,1470,0
"印西市",26815,3620,13.5,0,560,0
"浦安市",67481,9110,13.5,0,800,0
"栄町",5556,750,13.5,0,70,0
"横芝光町",17111,2310,13.5,0,40,0
"花見川区",88667,11970,13.5,0,790,0
"我孫子市",46000,6210,13.5,230,310,0
"鎌ケ谷市",35037,4730,13.5,70,210,0
"鴨川市",41704,5630,13.5,20,60,0
"館山市",55185,7450,13.5,20,110,0
"九十九里町",10074,1360,13.5,0,0,0
"君津市",44815,6050,13.5,40,340,0
"香取市",33630,4540,13.5,30,30,0
"佐倉市",52519,7090,13.5,170,650,0
"山武市",30148,4070,13.5,0,50,0
"四街道市",22593,3050,13.5,30,340,0
"市原市",138370,18680,13.5,390,1350,0
"市川市",219556,29640,13.5,1330,8130,0
"若葉区",56889,7680,13.5,340,560,0
"酒々井町",7630,1030,13.5,0,20,0
"習志野市",66741,9010,13.5,10,780,0
"勝浦市",50370,6800,13.5,0,50,0
"松戸市",238889,32250,13.5,500,1870,0
"成田市",57259,7730,13.5,70,330,0
"千葉市",428889,57900,13.5,700,4500,0
"船橋市",237926,32120,13.5,680,5420,0
"匝瑳市",16148,2180,13.5,10,30,0
"袖ケ浦市",18667,2520,13.5,0,180,0
"大網白里市",27333,3690,13.5,0,20,0
"中央区",142667,19260,13.5,0,600,0
"銚子市",42074,5680,13.5,90,300,0
"東金市",38741,5230,13.5,10,100,0
"南房総市",39259,5300,13.5,10,20,0
"柏市",169333,22860,13.5,490,1950,0
"白井市",13778,1860,13.5,10,410,0
"八街市",29407,3970,13.5,0,90,0
"八千代市",67704,9140,13.5,90,530,0
"美浜区",40000,5400,13.5,200,1010,0
"富津市",26741,3610,13.5,0,320,0
"富里市",19778,2670,13.5,0,100,0
"茂原市",64519,8710,13.5,60,140,0
"木更津市",68444,9240,13.5,0,720,0
"野田市",52148,7040,13.5,230,220,0
"流山市",54963,7420,13.5,0,750,0
"緑区",36741,4960,13.5,0,100,0
