city,district,facility_name,type,chain_brand,lat,lng,gfa_sqm
福岡市博多区,博多駅前,キャナルシティ博多,sc,キャナルシティ博多,33.5897,130.4127,240000
福岡市博多区,博多駅前,博多マルイ,sc,マルイ,33.5895,130.4205,32000
福岡市博多区,博多駅前,アミュプラザ博多,sc,JR九州,33.59,130.4207,74000
福岡市博多区,住吉,イオン博多店,supermarket,イオン,33.5865,130.4048,18500
福岡市博多区,博多駅前,セブンイレブン博多駅前店,cvs,セブンイレブン,33.5898,130.4198,120
福岡市博多区,祇園,ローソン博多祇園店,cvs,ローソン,33.5882,130.4162,110
福岡市中央区,天神,天神地下街,sc,天神地下街,33.5902,130.3981,52000
福岡市中央区,天神,岩田屋本店,sc,岩田屋三越,33.5905,130.3985,68000
福岡市中央区,天神,天神イムズ跡地VIORO,sc,VIORO,33.5908,130.399,25000
福岡市中央区,大名,ドラッグイレブン大名店,drugstore,ドラッグイレブン,33.5892,130.394,450
福岡市中央区,薬院,マツモトキヨシ薬院駅前店,drugstore,マツモトキヨシ,33.5818,130.3968,380
福岡市中央区,天神,スターバックス天神西通り店,cafe,スターバックス,33.591,130.396,185
福岡市中央区,今泉,ファミリーマート今泉店,cvs,ファミリーマート,33.5875,130.3952,115
福岡市早良区,西新,西新パレス,sc,西新パレス,33.5788,130.3625,28000
福岡市早良区,西新,コスモス薬品西新店,drugstore,コスモス薬品,33.5792,130.363,620
福岡市早良区,藤崎,イオン藤崎店,supermarket,イオン,33.5805,130.3458,22000
福岡市東区,香椎,イオンモール香椎浜,mall,イオンモール,33.6188,130.4445,95000
福岡市東区,千早,マックスバリュ千早店,supermarket,マックスバリュ,33.6125,130.4388,4500
福岡市東区,千早,セブンイレブン千早駅前店,cvs,セブンイレブン,33.6118,130.4382,115
福岡市南区,大橋,イオン大橋店,supermarket,イオン,33.5562,130.4202,25000
福岡市南区,大橋,スターバックス大橋駅前店,cafe,スターバックス,33.5568,130.4195,160
福岡市西区,姪浜,イオンマリナタウン,mall,イオンモール,33.5982,130.3015,82000
北九州市小倉北区,小倉駅前,アミュプラザ小倉,sc,JR九州,33.8701,130.8762,65000
北九州市小倉北区,小倉駅前,チャチャタウン小倉,sc,チャチャタウン,33.8725,130.8688,52000
北九州市小倉北区,魚町,セブンイレブン魚町店,cvs,セブンイレブン,33.8718,130.8738,118
北九州市小倉北区,小倉駅前,マツモトキヨシ小倉駅前店,drugstore,マツモトキヨシ,33.8705,130.8755,420
北九州市小倉南区,平野,イオンモール八幡東,mall,イオンモール,33.8582,130.8325,78000
久留米市,西鉄久留米,ゆめタウン久留米,mall,ゆめタウン,33.3188,130.5115,85000
久留米市,西鉄久留米,ローソン西鉄久留米駅前店,cvs,ローソン,33.3198,130.5088,105
飯塚市,飯塚中央,イオン飯塚店,supermarket,イオン,33.6438,130.6912,18000
