city,total_crimes,crime_rate_per_1000,theft_count,violent_count,fraud_count,safety_score,dominant_crime_type,year
福岡市博多区,2850,18.2,1820,195,285,62,窃盗,2024
福岡市中央区,2240,16.8,1380,158,268,65,窃盗,2024
福岡市早良区,1180,8.5,780,88,148,74,窃盗,2024
福岡市東区,1420,9.2,950,105,162,72,窃盗,2024
福岡市南区,1650,10.8,1080,122,178,70,窃盗,2024
福岡市城南区,820,7.2,545,65,105,76,窃盗,2024
福岡市西区,980,7.8,648,72,118,75,窃盗,2024
北九州市小倉北区,3150,22.5,1950,285,315,55,窃盗,2024
北九州市小倉南区,1480,11.2,965,132,168,68,窃盗,2024
北九州市戸畑区,680,9.8,445,68,88,71,窃盗,2024
北九州市若松区,520,8.5,345,52,68,73,窃盗,2024
久留米市,1850,12.2,1220,158,218,67,窃盗,2024
飯塚市,980,13.5,645,98,128,64,窃盗,2024
福岡県春日市,580,6.8,385,48,78,78,窃盗,2024
