city,seismic_intensity_30yr,liquefaction_risk,slope_failure_risk,overall_risk_score,notes
福岡市中央区,58,low,medium,3,警固断層帯あり。西方沖地震(2005)の経験
福岡市博多区,54,low,low,1,警固断層帯あり。西方沖地震(2005)の経験
福岡市東区,72,low,low,4,警固断層帯あり。西方沖地震(2005)の経験
福岡市南区,75,medium,low,6,警固断層帯あり。西方沖地震(2005)の経験
福岡市西区,57,high,low,4,警固断層帯あり。西方沖地震(2005)の経験
福岡市城南区,75,medium,low,6,警固断層帯あり。西方沖地震(2005)の経験
福岡市早良区,69,low,medium,5,警固断層帯あり。西方沖地震(2005)の経験
北九州市小倉北区,56,medium,high,4,警固断層帯あり。西方沖地震(2005)の経験
北九州市八幡西区,75,low,medium,6,警固断層帯あり。西方沖地震(2005)の経験
久留米市,68,low,low,4,警固断層帯あり。西方沖地震(2005)の経験
春日市,65,low,medium,4,警固断層帯あり。西方沖地震(2005)の経験
大野城市,73,low,low,5,警固断層帯あり。西方沖地震(2005)の経験
