city,district,weekday_avg_flow,weekend_avg_flow,avg_stay_minutes,peak_hour,flow_trend,year
福岡市博多区,博多駅前,280000,220000,42,8,増加,2025
福岡市博多区,博多駅南,95000,72000,35,9,横ばい,2025
福岡市博多区,祇園,68000,54000,28,19,増加,2025
福岡市博多区,住吉,52000,45000,25,18,横ばい,2025
福岡市中央区,天神,320000,290000,58,12,増加,2025
福岡市中央区,大名,85000,92000,65,15,増加,2025
福岡市中央区,薬院,78000,68000,40,18,増加,2025
福岡市中央区,赤坂,62000,55000,33,19,横ばい,2025
福岡市中央区,今泉,45000,58000,70,14,増加,2025
福岡市早良区,西新,110000,95000,45,10,横ばい,2025
福岡市早良区,藤崎,72000,60000,38,9,横ばい,2025
福岡市早良区,室見,48000,38000,30,8,減少,2025
福岡市東区,箱崎,55000,48000,32,9,横ばい,2025
福岡市東区,千早,62000,55000,36,8,増加,2025
福岡市東区,香椎,78000,68000,40,9,増加,2025
福岡市南区,大橋,88000,75000,42,9,横ばい,2025
福岡市南区,井尻,45000,38000,28,8,横ばい,2025
福岡市南区,高宮,52000,44000,35,19,横ばい,2025
福岡市城南区,別府,48000,40000,30,8,横ばい,2025
福岡市城南区,茶山,35000,30000,25,9,減少,2025
福岡市西区,姪浜,75000,62000,38,9,増加,2025
福岡市西区,今宿,42000,36000,28,8,横ばい,2025
北九州市小倉北区,小倉駅前,185000,155000,48,10,横ばい,2025
北九州市小倉北区,魚町,82000,95000,62,13,減少,2025
北九州市小倉南区,平野,55000,48000,33,9,横ばい,2025
北九州市戸畑区,戸畑駅前,48000,40000,30,9,減少,2025
北九州市若松区,若松中央,38000,32000,28,10,減少,2025
久留米市,西鉄久留米駅前,95000,85000,45,10,横ばい,2025
