year,city,district,address,land_use,price_per_sqm,change_rate,lat,lng
2023,福岡市中央区,天神,天神2丁目,commercial,4200000,3.5,33.5908,130.3985
2023,福岡市中央区,大名,大名1丁目,commercial,3800000,3.2,33.5918,130.3965
2023,福岡市中央区,赤坂,赤坂1丁目,residential,950000,2.1,33.5895,130.3920
2023,福岡市中央区,薬院,薬院1丁目,residential,880000,1.9,33.5821,130.3978
2023,福岡市博多区,博多駅前,博多駅前2丁目,commercial,3200000,2.8,33.5904,130.4200
2023,福岡市博多区,祇園,祇園町,commercial,2900000,2.5,33.5872,130.4135
2023,福岡市博多区,住吉,住吉1丁目,residential,680000,1.5,33.5845,130.4050
2023,福岡市東区,香椎,香椎1丁目,residential,310000,1.2,33.6312,130.4521
2023,福岡市東区,箱崎,箱崎3丁目,residential,285000,1.0,33.6201,130.4285
2023,福岡市南区,大橋,大橋1丁目,residential,290000,1.1,33.5512,130.4212
2023,福岡市南区,高宮,高宮3丁目,residential,265000,1.0,33.5621,130.4180
2023,福岡市西区,姪浜,姪浜駅南1丁目,residential,248000,0.9,33.5821,130.3201
2023,福岡市城南区,別府,別府3丁目,residential,240000,0.8,33.5621,130.3701
2023,福岡市早良区,西新,西新2丁目,residential,275000,1.2,33.5821,130.3621
2023,北九州市小倉北区,魚町,魚町2丁目,commercial,420000,0.5,33.8821,130.8751
2023,北九州市八幡西区,黒崎,黒崎中央町,residential,158000,0.3,33.8621,130.7651
2023,久留米市,東町,東町,residential,148000,0.4,33.3201,130.5081
2023,春日市,春日,春日1丁目,residential,235000,1.1,33.5312,130.4681
2023,大野城市,大城,大城1丁目,residential,218000,0.9,33.5212,130.4781
2024,福岡市中央区,天神,天神2丁目,commercial,4500000,3.8,33.5908,130.3985
2024,福岡市中央区,大名,大名1丁目,commercial,4100000,3.5,33.5918,130.3965
2024,福岡市中央区,赤坂,赤坂1丁目,residential,985000,2.3,33.5895,130.3920
2024,福岡市博多区,博多駅前,博多駅前2丁目,commercial,3600000,3.2,33.5904,130.4200
2024,福岡市博多区,祇園,祇園町,commercial,3200000,2.8,33.5872,130.4135
2024,福岡市東区,香椎,香椎1丁目,residential,325000,1.4,33.6312,130.4521
2024,福岡市南区,大橋,大橋1丁目,residential,302000,1.2,33.5512,130.4212
2024,福岡市西区,姪浜,姪浜駅南1丁目,residential,260000,1.1,33.5821,130.3201
2024,北九州市小倉北区,魚町,魚町2丁目,commercial,435000,0.6,33.8821,130.8751
2024,久留米市,東町,東町,residential,152000,0.5,33.3201,130.5081
2025,福岡市中央区,天神,天神2丁目,commercial,4850000,4.2,33.5908,130.3985
2025,福岡市中央区,大名,大名1丁目,commercial,4400000,3.8,33.5918,130.3965
2025,福岡市中央区,薬院,薬院1丁目,residential,1050000,2.8,33.5821,130.3978
2025,福岡市博多区,博多駅前,博多駅前2丁目,commercial,4200000,3.9,33.5904,130.4200
2025,福岡市博多区,中洲,中洲4丁目,commercial,3900000,3.5,33.5935,130.4105
2025,福岡市東区,香椎,香椎1丁目,residential,342000,1.6,33.6312,130.4521
2025,福岡市南区,大橋,大橋1丁目,residential,315000,1.4,33.5512,130.4212
2025,春日市,春日,春日1丁目,residential,258000,1.5,33.5312,130.4681
