city,district,neighborhood,population,households,pop_density_sqkm,avg_age,child_ratio,elderly_ratio,daytime_pop_ratio
福岡市中央区,天神,天神1丁目,980,720,29500,37.2,4.5,11.8,9.8
福岡市中央区,天神,天神2丁目,1120,850,31200,36.8,4.2,11.5,10.5
福岡市中央区,大名,大名1丁目,2350,1680,26800,35.5,5.8,10.2,7.5
福岡市中央区,赤坂,赤坂2丁目,3210,2150,22500,39.8,7.2,14.5,3.8
福岡市中央区,薬院,薬院1丁目,4580,3020,20200,38.5,6.8,13.2,3.5
福岡市博多区,博多駅前,博多駅前2丁目,1450,1050,25800,38.2,4.1,13.5,8.2
福岡市博多区,中洲,中洲4丁目,680,520,32100,40.5,3.2,12.8,12.5
福岡市博多区,住吉,住吉1丁目,5240,3280,19500,41.2,8.5,15.8,3.2
福岡市博多区,博多,博多1丁目,3890,2580,21200,40.8,7.8,14.2,4.5
福岡市東区,千早,千早3丁目,6820,3450,16800,41.5,10.2,19.5,2.5
福岡市東区,香椎,香椎浜1丁目,7250,3680,14200,42.8,11.5,20.8,2.2
福岡市南区,大橋,大橋1丁目,8120,4250,18500,43.5,9.8,21.5,2.8
福岡市南区,高宮,高宮3丁目,4580,2380,15200,44.2,8.5,22.8,2.2
福岡市西区,姪浜,姪浜駅南2丁目,6350,3120,12800,42.1,10.8,21.2,2.5
福岡市早良区,西新,西新1丁目,5820,3580,21500,39.5,8.2,16.5,3.2
福岡市早良区,原,原3丁目,7180,3280,11500,44.8,10.5,24.2,2.0
福岡市城南区,別府,別府3丁目,4920,2580,17200,43.8,9.5,22.5,2.2
北九州市小倉北区,魚町,魚町2丁目,2850,1850,18500,45.2,6.5,28.5,4.8
北九州市小倉北区,中井,中井1丁目,5180,2650,12800,48.5,7.2,31.5,2.5
北九州市八幡西区,黒崎,黒崎中央町,3250,1780,15200,49.8,6.8,33.2,3.8
