city,pop_2020,pop_2030,pop_2040,pop_2050,decline_rate_2050
"福岡市中央区",195733,188129,174823,163418,16.5
"福岡市博多区",235896,227251,212122,199155,15.6
"福岡市東区",314492,302545,281638,263718,16.1
"福岡市南区",263205,253018,235191,219910,16.4
"福岡市西区",215878,208367,195222,183955,14.8
"福岡市城南区",133867,128820,119987,112416,16
"福岡市早良区",221152,214718,203460,193809,12.4
"北九州市小倉北区",185382,177697,164249,152722,17.6
"北九州市八幡西区",248031,239549,224704,211981,14.5
"久留米市",302757,290903,270159,252379,16.6
"春日市",111502,107831,101408,95902,14
"大野城市",102057,98183,91404,85594,16.1
