city,district,year,median_per_sqm,max_per_sqm,min_per_sqm,sample_lines
福岡市中央区,天神,2023,3360000,3696000,3024000,1
福岡市中央区,大名,2023,3040000,3344000,2736000,1
福岡市中央区,赤坂,2023,760000,836000,684000,1
福岡市中央区,薬院,2023,704000,774400,633600,1
福岡市博多区,博多駅前,2023,2560000,2816000,2304000,1
福岡市博多区,祇園,2023,2320000,2552000,2088000,1
福岡市博多区,住吉,2023,544000,598400,489600,1
福岡市東区,香椎,2023,248000,272800,223200,1
福岡市東区,箱崎,2023,228000,250800,205200,1
福岡市南区,大橋,2023,232000,255200,208800,1
福岡市南区,高宮,2023,212000,233200,190800,1
福岡市西区,姪浜,2023,198400,218240,178560,1
福岡市城南区,別府,2023,192000,211200,172800,1
福岡市早良区,西新,2023,220000,242000,198000,1
北九州市小倉北区,魚町,2023,336000,369600,302400,1
北九州市八幡西区,黒崎,2023,126400,139040,113760,1
久留米市,東町,2023,118400,130240,106560,1
春日市,春日,2023,188000,206800,169200,1
大野城市,大城,2023,174400,191840,156960,1
福岡市中央区,天神,2024,3600000,3960000,3240000,1
福岡市中央区,大名,2024,3280000,3608000,2952000,1
福岡市中央区,赤坂,2024,788000,866800,709200,1
福岡市博多区,博多駅前,2024,2880000,3168000,2592000,1
福岡市博多区,祇園,2024,2560000,2816000,2304000,1
福岡市東区,香椎,2024,260000,286000,234000,1
福岡市南区,大橋,2024,241600,265760,217440,1
福岡市西区,姪浜,2024,208000,228800,187200,1
北九州市小倉北区,魚町,2024,348000,382800,313200,1
久留米市,東町,2024,121600,133760,109440,1
福岡市中央区,天神,2025,3880000,4268000,3492000,1
福岡市中央区,大名,2025,3520000,3872000,3168000,1
福岡市中央区,薬院,2025,840000,924000,756000,1
福岡市博多区,博多駅前,2025,3360000,3696000,3024000,1
福岡市博多区,中洲,2025,3120000,3432000,2808000,1
福岡市東区,香椎,2025,273600,300960,246240,1
福岡市南区,大橋,2025,252000,277200,226800,1
春日市,春日,2025,206400,227040,185760,1
