city,district,elementary_school,junior_high_school,education_score,university_advancement_rate,nearby_school_count,avg_deviation_value
福岡市博多区,博多駅前,博多小学校,博多中学校,72,68.5,5,52.3
福岡市博多区,住吉,住吉小学校,当仁中学校,68,64.2,4,50.8
福岡市博多区,祇園,千代小学校,千代中学校,70,66.0,5,51.5
福岡市博多区,吉塚,吉塚小学校,吉塚中学校,65,61.8,4,49.6
福岡市中央区,天神,警固小学校,友泉中学校,80,75.2,8,57.4
福岡市中央区,大名,赤坂小学校,友泉中学校,82,76.8,7,58.1
福岡市中央区,薬院,平尾小学校,筑紫丘中学校,78,73.5,6,56.2
福岡市中央区,今泉,警固小学校,友泉中学校,79,74.0,7,57.0
福岡市早良区,西新,西新小学校,原中学校,75,70.8,7,54.5
福岡市早良区,藤崎,飯倉小学校,百道中学校,77,72.3,6,55.8
福岡市早良区,室見,四箇田小学校,内浜中学校,68,63.5,5,50.2
福岡市早良区,原,原小学校,原中学校,72,67.0,6,52.1
福岡市東区,香椎,香椎小学校,香椎中学校,70,65.5,6,51.8
福岡市東区,箱崎,箱崎小学校,箱崎中学校,68,63.0,5,50.5
福岡市東区,千早,千早小学校,香住丘中学校,73,68.0,6,53.0
福岡市南区,大橋,平和小学校,大池中学校,74,69.5,7,54.0
福岡市南区,高宮,高宮小学校,筑紫丘中学校,76,71.2,6,55.0
福岡市南区,井尻,日佐小学校,三宅中学校,67,62.5,5,50.0
福岡市城南区,別府,片江小学校,城南中学校,70,65.0,5,51.0
福岡市城南区,茶山,長尾小学校,城南中学校,68,63.8,4,50.3
福岡市西区,姪浜,姪浜小学校,周船寺中学校,72,67.5,6,52.5
福岡市西区,今宿,今宿小学校,今津中学校,65,60.5,4,49.0
北九州市小倉北区,小倉駅前,到津小学校,南小倉中学校,68,64.0,6,50.8
北九州市小倉北区,魚町,旦過小学校,城野中学校,66,62.0,5,49.5
北九州市小倉南区,平野,湯川小学校,長行中学校,67,62.8,5,50.0
北九州市戸畑区,戸畑駅前,戸畑小学校,戸畑中学校,65,61.5,4,49.2
久留米市,西鉄久留米,久留米小学校,三潴中学校,70,66.5,6,51.8
飯塚市,飯塚中央,飯塚小学校,飯塚第一中学校,62,58.0,4,48.0
