year,quarter,city,district,property_type,area_sqm,price_total,price_per_sqm,building_year,structure,use
2020,Q1,福岡市,福岡市博多区,residential,65,29250000,450000,2005,RC,マンション
2020,Q2,福岡市,福岡市中央区,commercial,120,54000000,450000,2010,SRC,店舗
2020,Q3,福岡市,福岡市東区,residential,80,24000000,300000,2000,RC,マンション
2020,Q4,北九州市,北九州市小倉北区,land,200,30000000,150000,0,,
2021,Q1,福岡市,福岡市博多区,office,150,67500000,450000,2015,SRC,事務所
2021,Q2,福岡市,福岡市中央区,residential,55,24750000,450000,2018,RC,マンション
2021,Q3,福岡市,福岡市東区,land,250,37500000,150000,0,,
2021,Q4,北九州市,北九州市小倉北区,residential,90,22500000,250000,1998,RC,マンション
2022,Q1,福岡市,福岡市博多区,commercial,200,100000000,500000,2020,SRC,店舗
2022,Q2,福岡市,福岡市中央区,office,180,81000000,450000,2019,RC,事務所
2022,Q3,福岡市,福岡市東区,residential,70,21000000,300000,2003,RC,マンション
2022,Q4,北九州市,北九州市小倉北区,commercial,130,26000000,200000,2001,S,店舗
2023,Q1,福岡市,福岡市博多区,residential,60,27000000,450000,2022,RC,マンション
2023,Q2,福岡市,福岡市中央区,land,180,81000000,450000,0,,
2023,Q3,福岡市,福岡市東区,office,100,35000000,350000,2008,SRC,事務所
2023,Q4,北九州市,北九州市小倉北区,residential,100,20000000,200000,1995,W,戸建て
2024,Q1,福岡市,福岡市博多区,office,220,110000000,500000,2023,SRC,事務所
2024,Q2,福岡市,福岡市中央区,residential,75,33750000,450000,2020,RC,マンション
2024,Q3,福岡市,福岡市東区,commercial,160,48000000,300000,2012,S,店舗
2024,Q4,北九州市,北九州市小倉北区,land,300,45000000,150000,0,,
2024,Q1,福岡市,福岡市博多区,residential,50,22500000,450000,2024,RC,マンション
2024,Q2,北九州市,北九州市小倉北区,office,110,22000000,200000,2005,RC,事務所
