city,district,station_name,line,daily_passengers,walk_min_to_center,station_type
福岡市博多区,博多駅前,博多駅,JR鹿児島本線・新幹線,155000,0,jr
福岡市博多区,祇園,祇園駅,福岡市地下鉄空港線,28500,8,subway
福岡市博多区,住吉,博多南駅,JR博多南線,12000,15,jr
福岡市中央区,天神,天神駅,福岡市地下鉄空港線,148000,0,subway
福岡市中央区,天神,天神南駅,福岡市地下鉄七隈線,62000,3,subway
福岡市中央区,大名,赤坂駅,福岡市地下鉄空港線,18500,5,subway
福岡市中央区,薬院,薬院駅,西鉄天神大牟田線,45000,8,private
福岡市中央区,薬院,薬院大通駅,福岡市地下鉄七隈線,22000,8,subway
福岡市早良区,西新,西新駅,福岡市地下鉄空港線,52000,0,subway
福岡市早良区,藤崎,藤崎駅,福岡市地下鉄空港線,38000,5,subway
福岡市早良区,室見,室見駅,福岡市地下鉄空港線,32000,10,subway
福岡市東区,箱崎,貝塚駅,福岡市地下鉄箱崎線,28000,5,subway
福岡市東区,千早,千早駅,JR鹿児島本線,38000,10,jr
福岡市東区,香椎,香椎駅,JR鹿児島本線,42000,0,jr
福岡市南区,大橋,大橋駅,西鉄天神大牟田線,65000,0,private
福岡市南区,井尻,井尻駅,西鉄天神大牟田線,28000,0,private
福岡市南区,高宮,高宮駅,西鉄天神大牟田線,38000,0,private
福岡市城南区,別府,別府駅,福岡市地下鉄七隈線,22000,0,subway
福岡市西区,姪浜,姪浜駅,福岡市地下鉄空港線・JR筑肥線,68000,0,subway
福岡市西区,今宿,今宿駅,JR筑肥線,18000,0,jr
北九州市小倉北区,小倉駅前,小倉駅,JR鹿児島本線・新幹線,95000,0,jr
北九州市小倉北区,魚町,旦過駅,北九州モノレール,22000,8,private
北九州市小倉北区,小倉駅前,小倉駅,北九州モノレール,35000,0,private
北九州市小倉南区,平野,企救丘駅,北九州モノレール,12000,0,private
北九州市小倉南区,守恒,守恒駅,北九州モノレール,15000,5,private
北九州市戸畑区,戸畑駅前,戸畑駅,JR鹿児島本線,28000,0,jr
北九州市若松区,若松中央,若松駅,JR若松線,8500,0,jr
久留米市,西鉄久留米,西鉄久留米駅,西鉄天神大牟田線,52000,0,private
久留米市,久留米,久留米駅,JR鹿児島本線・久大本線,38000,5,jr
飯塚市,飯塚中央,新飯塚駅,JR筑豊本線,18000,10,jr
