city,total_housing,total_vacant,vacancy_rate,for_rent,for_sale,other_vacant
"うきは市",12963,1750,13.5,0,20,0
"みやこ町",11037,1490,13.5,0,10,0
"みやま市",13407,1810,13.5,0,20,0
"鞍手町",9778,1320,13.5,0,40,0
"宇美町",8074,1090,13.5,0,10,0
"遠賀町",5185,700,13.5,0,0,0
"岡垣町",12889,1740,13.5,0,420,0
"嘉麻市",27185,3670,13.5,0,100,0
"苅田町",21333,2880,13.5,0,0,0
"久留米市",154889,20910,13.5,70,910,0
"宮若市",17926,2420,13.5,80,30,0
"古賀市",16741,2260,13.5,10,80,0
"戸畑区",39185,5290,13.5,210,960,0
"広川町",6815,920,13.5,0,50,0
"行橋市",33407,4510,13.5,30,150,0
"志免町",12519,1690,13.5,0,80,0
"糸島市",32370,4370,13.5,0,180,0
"篠栗町",7481,1010,13.5,30,0,0
"若松区",44074,5950,13.5,150,300,0
"宗像市",34296,4630,13.5,10,330,0
"春日市",40667,5490,13.5,0,230,0
"小郡市",17333,2340,13.5,0,140,0
"小倉南区",92444,12480,13.5,10,810,0
"小倉北区",148667,20070,13.5,180,1490,0
"城南区",80444,10860,13.5,170,1120,0
"新宮町",6222,840,13.5,0,180,0
"須恵町",5630,760,13.5,0,20,0
"水巻町",14148,1910,13.5,40,180,0
"西区",58370,7880,13.5,80,1940,0
"川崎町",14593,1970,13.5,0,30,0
"早良区",73407,9910,13.5,40,1250,0
"太宰府市",22296,3010,13.5,30,30,0
"大川市",13111,1770,13.5,10,50,0
"大刀洗町",3185,430,13.5,0,0,0
"大牟田市",80889,10920,13.5,150,510,0
"大野城市",25481,3440,13.5,50,150,0
"築上町",14444,1950,13.5,0,90,0
"筑後市",16815,2270,13.5,20,130,0
"筑紫野市",30222,4080,13.5,250,640,0
"筑前町",6889,930,13.5,0,70,0
"中央区",119185,16090,13.5,850,3630,0
"中間市",19481,2630,13.5,10,120,0
"朝倉市",23704,3200,13.5,70,60,0
"直方市",31704,4280,13.5,70,110,0
"田川市",36593,4940,13.5,70,310,0
"東区",144667,19530,13.5,870,1280,0
"那珂川市",13333,1800,13.5,10,200,0
"南区",101407,13690,13.5,260,2300,0
"博多区",120444,16260,13.5,690,780,0
"粕屋町",11778,1590,13.5,0,130,0
"八女市",29333,3960,13.5,40,260,0
"八幡西区",139926,18890,13.5,0,270,0
"八幡東区",53704,7250,13.5,420,530,0
"飯塚市",100667,13590,13.5,20,330,0
"福岡市",697778,94200,13.5,3000,12300,0
"福智町",10741,1450,13.5,0,40,0
"福津市",22370,3020,13.5,20,220,0
"豊前市",16519,2230,13.5,0,60,0
"北九州市",587407,79300,13.5,1100,5500,0
"門司区",69333,9360,13.5,160,1160,0
"柳川市",25407,3430,13.5,10,20,0
