city,district,facility_name,type,chain_brand,lat,lng,gfa_sqm
札幌市東区,元町,アリオ札幌,mall,アリオ,43.0768,141.3812,85000
札幌市厚別区,新さっぽろ,イオンモール札幌発寒,mall,イオンモール,43.0912,141.2745,92000
札幌市西区,発寒,コストコホールセール札幌,sc,コストコ,43.1025,141.2582,14500
札幌市中央区,大通,大丸札幌店,mall,大丸,43.068,141.3508,55000
札幌市中央区,大通,札幌ステラプレイス,mall,JR北海道,43.0686,141.3509,48000
札幌市中央区,すすきの,ススキノラフィラ,sc,ラフィラ,43.0558,141.352,22000
札幌市中央区,大通,セイコーマート大通店,cvs,セイコーマート,43.062,141.354,120
札幌市北区,麻生,セイコーマート麻生店,cvs,セイコーマート,43.1012,141.3402,115
北海道旭川市,旭川中心部,セイコーマート旭川駅前店,cvs,セイコーマート,43.7715,142.365,118
北海道函館市,函館駅前,セイコーマート函館駅前店,cvs,セイコーマート,41.7735,140.727,112
札幌市中央区,札幌駅前,セブンイレブン札幌駅北口店,cvs,セブンイレブン,43.07,141.351,130
札幌市豊平区,平岸,セブンイレブン平岸店,cvs,セブンイレブン,43.0345,141.362,125
北海道旭川市,旭川中心部,セブンイレブン旭川平和通店,cvs,セブンイレブン,43.7702,142.3615,128
札幌市中央区,大通,ツルハドラッグ大通店,drugstore,ツルハドラッグ,43.0618,141.3535,450
札幌市北区,新川,ツルハドラッグ新川店,drugstore,ツルハドラッグ,43.1155,141.3285,480
北海道旭川市,旭川中心部,ツルハドラッグ旭川店,drugstore,ツルハドラッグ,43.7698,142.3622,460
北海道函館市,五稜郭,ツルハドラッグ五稜郭店,drugstore,ツルハドラッグ,41.7888,140.7358,440
札幌市中央区,円山,スターバックス円山公園店,cafe,スターバックス,43.0535,141.3245,280
札幌市中央区,大通,スターバックス大通公園店,cafe,スターバックス,43.0605,141.351,320
北海道函館市,函館駅前,スターバックス函館ベイ店,cafe,スターバックス,41.772,140.7215,300
札幌市中央区,すすきの,サイゼリヤ札幌すすきの店,restaurant,サイゼリヤ,43.056,141.3518,380
北海道旭川市,旭川駅前,びっくりドンキー旭川店,restaurant,びっくりドンキー,43.7718,142.364,520
北海道帯広市,帯広駅前,インデアン帯広駅前店,restaurant,インデアン,42.9245,143.1955,290
北海道苫小牧市,苫小牧中央,イオン苫小牧店,mall,イオン,42.6342,141.6048,65000
北海道釧路市,釧路中央,イトーヨーカドー釧路店,sc,イトーヨーカドー,42.9848,144.3812,28000
札幌市厚別区,新さっぽろ,マックスバリュ新さっぽろ店,supermarket,マックスバリュ,43.0908,141.4682,2800
北海道旭川市,春光台,コープさっぽろ旭川春光店,supermarket,コープさっぽろ,43.7958,142.3835,1950
北海道函館市,湯の川,コープさっぽろ湯の川店,supermarket,コープさっぽろ,41.8002,140.7555,1850
