city,district,total_establishments,major_company_count,employee_total,avg_commute_minutes,top_industry,industry_share,office_vacancy_rate
札幌市中央区,大通,4820,185,95000,28,情報通信業,22.5,8.2
札幌市中央区,札幌駅前,3650,142,78000,25,金融・保険業,19.8,9.5
札幌市中央区,すすきの,2980,88,45000,22,飲食・宿泊業,35.2,7.8
札幌市北区,新川,1850,42,28000,30,卸売・小売業,24.0,6.5
札幌市東区,元町,1420,28,18500,32,製造業,28.5,5.8
札幌市白石区,菊水,1680,35,22000,28,建設業,26.0,6.2
札幌市厚別区,新さっぽろ,2100,55,32000,35,卸売・小売業,30.5,7.0
札幌市豊平区,平岸,1350,22,16000,30,医療・福祉,32.0,5.5
札幌市西区,琴似,1580,30,19500,28,卸売・小売業,27.0,6.0
北海道旭川市,旭川中心部,2650,95,42000,25,卸売・小売業,28.5,10.2
北海道旭川市,旭川東,980,18,12000,32,製造業,35.0,7.5
北海道函館市,函館中央,1920,68,31000,22,観光・宿泊業,30.0,11.5
北海道函館市,五稜郭,1450,45,22000,28,情報通信業,20.5,9.8
北海道苫小牧市,苫小牧港湾,2200,78,48000,30,物流・運輸業,38.5,6.5
北海道苫小牧市,苫小牧中央,1180,32,16500,25,卸売・小売業,29.0,8.0
北海道帯広市,帯広中央,1580,52,24000,22,農業関連業,25.5,9.0
北海道釧路市,釧路中央,1350,42,20000,25,水産業,32.0,12.5
北海道釧路市,釧路港,850,28,15000,28,物流・運輸業,40.0,8.5
札幌市南区,真駒内,680,12,8500,35,医療・福祉,38.0,4.5
札幌市手稲区,手稲,920,18,11000,38,卸売・小売業,28.0,5.2
