city,total_crimes,crime_rate_per_1000,theft_count,violent_count,fraud_count,safety_score,dominant_crime_type,year
札幌市,18500,9.8,12800,850,1950,62,窃盗,2024
北海道旭川市,4200,11.2,2850,310,420,58,窃盗,2024
北海道函館市,2800,10.5,1920,195,285,60,窃盗,2024
北海道苫小牧市,1850,9.2,1280,140,175,64,窃盗,2024
北海道帯広市,1620,9.5,1100,128,168,63,窃盗,2024
北海道釧路市,1950,11.8,1320,168,195,56,窃盗,2024
北海道北見市,1280,9.0,875,105,132,65,窃盗,2024
北海道小樽市,980,8.8,670,82,98,66,窃盗,2024
北海道江別市,720,6.5,490,62,82,72,窃盗,2024
北海道千歳市,650,5.8,445,55,68,75,窃盗,2024
北海道登別市,420,7.2,285,42,52,70,窃盗,2024
北海道伊達市,280,5.5,192,28,35,76,窃盗,2024
北海道恵庭市,380,5.2,258,32,45,77,窃盗,2024
