city,district,weekday_avg_flow,weekend_avg_flow,avg_stay_minutes,peak_hour,flow_trend,year
札幌市中央区,大通,250000,215000,65,08:00,stable,2025
札幌市中央区,すすきの,180000,220000,90,21:00,increasing,2025
札幌市中央区,札幌駅前,210000,190000,50,08:30,stable,2025
札幌市北区,新札幌,95000,85000,45,08:00,stable,2025
札幌市北区,北24条,72000,60000,40,08:00,declining,2025
札幌市東区,元町,58000,52000,38,08:00,stable,2025
札幌市白石区,白石,63000,55000,42,08:00,stable,2025
札幌市厚別区,新さっぽろ,88000,80000,48,08:00,increasing,2025
札幌市豊平区,平岸,54000,48000,35,08:00,stable,2025
札幌市清田区,清田,41000,38000,30,08:30,declining,2025
札幌市南区,真駒内,47000,55000,55,09:00,stable,2025
札幌市西区,琴似,68000,62000,40,08:00,stable,2025
札幌市手稲区,手稲,52000,47000,38,08:00,stable,2025
北海道旭川市,旭川駅前,82000,65000,55,08:00,declining,2025
北海道旭川市,旭川買物公園,61000,72000,70,13:00,stable,2025
北海道函館市,函館駅前,68000,78000,75,10:00,declining,2025
北海道函館市,五稜郭,55000,88000,85,11:00,increasing,2025
北海道苫小牧市,苫小牧駅前,48000,42000,40,08:00,stable,2025
北海道苫小牧市,イオンモール,35000,62000,90,13:00,increasing,2025
北海道帯広市,帯広駅前,52000,48000,50,08:00,declining,2025
北海道帯広市,帯広市西,30000,35000,45,10:00,stable,2025
北海道釧路市,釧路駅前,44000,40000,48,08:00,declining,2025
北海道釧路市,釧路フィッシャーマンズワーフ,22000,55000,95,12:00,stable,2025
札幌市中央区,円山,75000,90000,60,10:00,increasing,2025
北海道函館市,湯の川,18000,42000,120,11:00,increasing,2025
