year,city,district,address,land_use,price_per_sqm,change_rate,lat,lng
2023,札幌市中央区,大通,大通西3丁目,commercial,1350000,2.8,43.0612,141.3530
2023,札幌市中央区,大通,大通西4丁目,residential,420000,1.5,43.0615,141.3510
2023,札幌市中央区,すすきの,南4条西5丁目,commercial,980000,3.2,43.0548,141.3538
2023,札幌市中央区,円山,円山西町,residential,350000,1.2,43.0580,141.3210
2023,札幌市北区,北24条,北24条西4丁目,residential,155000,0.8,43.0932,141.3401
2023,札幌市北区,麻生,麻生町3丁目,residential,145000,0.7,43.1082,141.3445
2023,札幌市白石区,白石,白石区菊水元町2条,residential,130000,0.5,43.0582,141.3892
2023,札幌市豊平区,豊平,豊平4条8丁目,residential,148000,0.6,43.0438,141.3702
2023,札幌市西区,二十四軒,二十四軒3条5丁目,residential,145000,0.6,43.0780,141.3125
2023,札幌市厚別区,もみじ台,もみじ台南4丁目,residential,118000,0.3,43.0381,141.4398
2023,札幌市手稲区,手稲本町,手稲本町1条4丁目,residential,105000,0.2,43.1145,141.2752
2023,函館市,本町,本町1丁目,commercial,245000,0.5,41.7687,140.7290
2023,函館市,湯川,湯川町2丁目,residential,78000,0.1,41.8012,140.7612
2023,旭川市,旭川,1条通8丁目,commercial,168000,0.3,43.7702,142.3648
2023,旭川市,神居,神居1条15丁目,residential,58000,0.1,43.7538,142.3215
2023,小樽市,稲穂,稲穂2丁目,residential,72000,0.0,43.1907,140.9948
2023,釧路市,北大通,北大通2丁目,residential,55000,0.0,42.9849,144.3820
2024,札幌市中央区,大通,大通西3丁目,commercial,1420000,5.2,43.0612,141.3530
2024,札幌市中央区,すすきの,南4条西5丁目,commercial,1020000,4.1,43.0548,141.3538
2024,札幌市中央区,大通,大通西4丁目,residential,445000,6.0,43.0615,141.3510
2024,札幌市中央区,円山,円山西町,residential,368000,5.1,43.0580,141.3210
2024,札幌市北区,北24条,北24条西4丁目,residential,162000,4.5,43.0932,141.3401
2024,札幌市白石区,白石,白石区菊水元町2条,residential,138000,6.2,43.0582,141.3892
2024,札幌市豊平区,豊平,豊平4条8丁目,residential,155000,4.7,43.0438,141.3702
2024,函館市,本町,本町1丁目,commercial,252000,2.9,41.7687,140.7290
2024,旭川市,旭川,1条通8丁目,commercial,175000,4.2,43.7702,142.3648
2025,札幌市中央区,大通,大通西3丁目,commercial,1500000,5.6,43.0612,141.3530
2025,札幌市中央区,すすきの,南4条西5丁目,commercial,1080000,5.9,43.0548,141.3538
2025,札幌市中央区,大通,大通西4丁目,residential,475000,6.7,43.0615,141.3510
2025,札幌市中央区,円山,円山西町,residential,392000,6.5,43.0580,141.3210
2025,札幌市北区,北24条,北24条西4丁目,residential,172000,6.2,43.0932,141.3401
2025,札幌市西区,二十四軒,二十四軒3条5丁目,residential,158000,8.9,43.0780,141.3125
2025,函館市,本町,本町1丁目,commercial,260000,3.2,41.7687,140.7290
2025,旭川市,旭川,1条通8丁目,commercial,182000,4.0,43.7702,142.3648
2025,小樽市,稲穂,稲穂2丁目,residential,75000,4.2,43.1907,140.9948
