city,district,facility_name,type,lat,lng,beds
札幌市北区,北18条,北海道大学病院,hospital,43.0758,141.3422,994
札幌市中央区,円山西,札幌医科大学附属病院,hospital,43.0548,141.3282,1075
札幌市中央区,大通,KKR札幌医療センター,hospital,43.0698,141.3482,450
札幌市豊平区,平岸,札幌厚生病院,hospital,43.0378,141.3632,468
札幌市東区,北13条東,手稲渓仁会病院,hospital,43.0802,141.3618,600
札幌市手稲区,手稲,手稲渓仁会病院本院,hospital,43.1192,141.2682,605
北海道旭川市,旭川中心部,旭川医科大学病院,hospital,43.7548,142.3818,602
北海道旭川市,旭川東,旭川赤十字病院,hospital,43.7718,142.3888,500
北海道函館市,函館中央,函館市立病院,hospital,41.7788,140.7318,516
北海道函館市,亀田,函館中央病院,hospital,41.7928,140.7545,472
北海道苫小牧市,苫小牧中央,王子総合病院,hospital,42.6382,141.6018,406
北海道帯広市,帯広大通,帯広厚生病院,hospital,42.9278,143.1958,444
北海道釧路市,釧路中央,釧路赤十字病院,hospital,42.9862,144.3782,388
札幌市中央区,大通,大通内科クリニック,clinic,43.0618,141.3538,
札幌市北区,新川,新川ファミリークリニック,clinic,43.1148,141.3292,
札幌市西区,琴似,琴似内科クリニック,clinic,43.0882,141.3062,
北海道旭川市,旭川中心部,旭川中央クリニック,clinic,43.7702,142.3628,
北海道函館市,函館駅前,函館駅前クリニック,clinic,41.7738,140.7268,
北海道苫小牧市,苫小牧駅前,苫小牧駅前内科,clinic,42.6358,141.6058,
札幌市中央区,すすきの,すすきの歯科クリニック,dental,43.0562,141.3525,
札幌市豊平区,月寒,月寒歯科医院,dental,43.0318,141.3735,
北海道旭川市,旭川駅前,旭川ファミリー歯科,dental,43.7715,142.3648,
北海道函館市,五稜郭,五稜郭歯科クリニック,dental,41.7888,140.7352,
札幌市中央区,大通,大通調剤薬局,pharmacy,43.0615,141.3542,
札幌市北区,麻生,麻生ドラッグストア薬局,pharmacy,43.1008,141.3408,
北海道帯広市,帯広大通,帯広あおぞら薬局,pharmacy,42.9258,143.1968,
