city,district,neighborhood,population,households,pop_density_sqkm,avg_age,child_ratio,elderly_ratio,daytime_pop_ratio
札幌市中央区,大通,大通西1丁目,820,650,22500,38.5,3.8,12.1,9.8
札幌市中央区,大通,大通西4丁目,1450,1120,19800,39.2,4.2,13.5,8.2
札幌市中央区,円山,円山西町,5280,2980,8500,44.5,9.8,22.8,1.9
札幌市中央区,すすきの,南4条西5丁目,2180,1820,28500,36.8,2.5,10.2,7.5
札幌市中央区,大通,北2条西4丁目,680,540,31200,37.1,3.1,11.8,12.5
札幌市北区,北24条,北24条西4丁目,6250,3480,12800,42.8,9.5,25.2,2.2
札幌市北区,麻生,麻生町3丁目,4820,2650,11500,44.2,8.8,28.1,2.0
札幌市北区,新琴似,新琴似2条3丁目,7890,3920,9800,43.5,10.2,26.8,1.8
札幌市白石区,白石,菊水元町2条1丁目,5640,2890,14200,43.9,10.8,27.5,1.9
札幌市白石区,東札幌,東札幌5条2丁目,4120,2210,15800,42.1,9.2,24.8,2.5
札幌市豊平区,豊平,豊平4条8丁目,5280,2780,13500,43.2,9.8,25.9,2.1
札幌市豊平区,月寒,月寒西2条10丁目,6850,3420,12200,44.8,8.5,28.2,1.8
札幌市西区,二十四軒,二十四軒3条5丁目,4980,2580,11800,44.1,9.1,26.9,2.0
札幌市西区,琴似,琴似2条3丁目,6320,3180,10500,43.8,9.8,26.2,2.2
札幌市厚別区,もみじ台,もみじ台南4丁目,3580,1820,8200,50.2,6.8,35.8,1.5
札幌市手稲区,手稲本町,手稲本町1条4丁目,5120,2480,7800,46.5,8.2,30.5,1.7
函館市,本町,本町1丁目,2850,1650,18500,49.8,6.5,38.2,3.2
函館市,湯川,湯川町2丁目,4250,2180,9200,52.1,5.8,42.5,1.5
旭川市,旭川,1条通8丁目,1980,1420,15800,46.8,5.2,34.8,4.5
旭川市,神居,神居1条15丁目,5820,2780,8500,48.5,7.2,36.2,1.6
