city,population_2020,population_2025,households_2020,households_2025,density_per_sqkm,aging_rate
札幌市中央区,242516,248000,142000,148000,4820,21.5
札幌市北区,283783,278000,154000,153000,3920,25.8
札幌市白石区,202540,196000,107000,105000,5280,27.5
札幌市豊平区,213744,210000,116000,115000,4150,26.2
札幌市西区,216029,213000,110000,110000,2820,26.8
札幌市厚別区,120280,115000,59500,58000,3580,30.5
札幌市手稲区,142375,138000,68500,67000,2140,28.9
函館市,250283,234000,118000,113000,534,37.8
旭川市,328470,312000,163000,158000,352,34.5
小樽市,108806,97000,53500,49000,263,41.2
釧路市,163424,150000,78000,73000,106,38.9
