city,pop_2020,pop_2030,pop_2040,pop_2050,decline_rate_2050
"札幌市中央区",242516,228393,203679,182495,24.7
"札幌市北区",283783,267759,239718,215682,24
"札幌市白石区",202540,191348,171763,154975,23.5
"札幌市豊平区",213744,204276,187707,173504,18.8
"札幌市西区",216029,204820,185206,168393,22.1
"札幌市厚別区",120280,113333,101177,90757,24.5
"札幌市手稲区",142375,132946,116446,102302,28.1
"函館市",250283,237232,214393,194817,22.2
"旭川市",328470,309603,276585,248284,24.4
"小樽市",108806,102191,90616,80694,25.8
"釧路市",163424,156110,143311,132341,19
