city,district,year,median_per_sqm,max_per_sqm,min_per_sqm,sample_lines
札幌市中央区,大通,2023,708000,1188000,302400,2
札幌市中央区,すすきの,2023,784000,862400,705600,1
札幌市中央区,円山,2023,280000,308000,252000,1
札幌市北区,北24条,2023,124000,136400,111600,1
札幌市北区,麻生,2023,116000,127600,104400,1
札幌市白石区,白石,2023,104000,114400,93600,1
札幌市豊平区,豊平,2023,118400,130240,106560,1
札幌市西区,二十四軒,2023,116000,127600,104400,1
札幌市厚別区,もみじ台,2023,94400,103840,84960,1
札幌市手稲区,手稲本町,2023,84000,92400,75600,1
函館市,本町,2023,196000,215600,176400,1
函館市,湯川,2023,62400,68640,56160,1
旭川市,旭川,2023,134400,147840,120960,1
旭川市,神居,2023,46400,51040,41760,1
小樽市,稲穂,2023,57600,63360,51840,1
釧路市,北大通,2023,44000,48400,39600,1
札幌市中央区,大通,2024,746000,1249600,320400,2
札幌市中央区,すすきの,2024,816000,897600,734400,1
札幌市中央区,円山,2024,294400,323840,264960,1
札幌市北区,北24条,2024,129600,142560,116640,1
札幌市白石区,白石,2024,110400,121440,99360,1
札幌市豊平区,豊平,2024,124000,136400,111600,1
函館市,本町,2024,201600,221760,181440,1
旭川市,旭川,2024,140000,154000,126000,1
札幌市中央区,大通,2025,790000,1320000,342000,2
札幌市中央区,すすきの,2025,864000,950400,777600,1
札幌市中央区,円山,2025,313600,344960,282240,1
札幌市北区,北24条,2025,137600,151360,123840,1
札幌市西区,二十四軒,2025,126400,139040,113760,1
函館市,本町,2025,208000,228800,187200,1
旭川市,旭川,2025,145600,160160,131040,1
小樽市,稲穂,2025,60000,66000,54000,1
