city,district,elementary_school,junior_high_school,education_score,university_advancement_rate,nearby_school_count,avg_deviation_value
札幌市中央区,大通,札幌市立大通小学校,札幌市立大通中学校,82,78.5,8,58.2
札幌市中央区,円山西,札幌市立円山西小学校,札幌市立双葉中学校,85,82.0,7,60.1
札幌市中央区,旭ヶ丘,札幌市立旭ヶ丘小学校,札幌市立旭ヶ丘中学校,83,80.5,6,59.4
札幌市北区,新川,札幌市立新川小学校,札幌市立新川中学校,74,65.0,5,51.8
札幌市北区,麻生,札幌市立麻生小学校,札幌市立北進中学校,76,67.5,6,53.2
札幌市東区,北光,札幌市立北光小学校,札幌市立北野中学校,72,63.0,5,50.6
札幌市白石区,菊水,札幌市立菊水小学校,札幌市立菊水中学校,71,61.5,5,49.8
札幌市厚別区,厚別中央,札幌市立厚別中央小学校,札幌市立厚別中学校,75,66.5,6,52.5
札幌市豊平区,月寒,札幌市立月寒小学校,札幌市立月寒中学校,73,64.0,5,51.3
札幌市清田区,清田,札幌市立清田小学校,札幌市立清田中学校,70,60.5,4,49.2
札幌市南区,真駒内,札幌市立真駒内小学校,札幌市立真駒内中学校,77,69.0,5,54.0
札幌市西区,琴似,札幌市立琴似小学校,札幌市立琴似中学校,76,68.0,6,53.5
札幌市手稲区,手稲前田,札幌市立前田北小学校,札幌市立手稲中学校,73,63.5,5,51.0
北海道旭川市,旭川中央,旭川市立旭川中央小学校,旭川市立旭川中学校,72,62.0,7,50.5
北海道旭川市,春光台,旭川市立春光台小学校,旭川市立春光台中学校,69,58.5,4,48.3
北海道函館市,函館中央,函館市立函館中央小学校,函館市立函館中学校,74,65.0,6,52.0
北海道函館市,湯の川,函館市立湯の川小学校,函館市立湯の川中学校,71,61.0,4,49.5
北海道苫小牧市,苫小牧中央,苫小牧市立明野小学校,苫小牧市立明野中学校,70,60.0,5,49.0
北海道帯広市,帯広大通,帯広市立帯広大通小学校,帯広市立帯広北中学校,71,61.5,5,49.8
北海道釧路市,釧路中央,釧路市立鳥取小学校,釧路市立進修中学校,68,57.0,5,47.5
札幌市中央区,宮の森,札幌市立宮の森小学校,札幌市立宮の森中学校,87,84.5,7,62.3
北海道旭川市,末広,旭川市立末広小学校,旭川市立末広中学校,67,56.0,4,47.0
北海道函館市,亀田,函館市立亀田小学校,函館市立亀田中学校,69,59.0,4,48.5
北海道苫小牧市,勇払,苫小牧市立勇払小学校,苫小牧市立勇払中学校,66,55.0,3,46.5
北海道帯広市,帯広西,帯広市立西小学校,帯広市立西中学校,69,59.5,4,48.8
