city,district,total_establishments,major_company_count,employee_total,avg_commute_minutes,top_industry,industry_share,office_vacancy_rate
神戸市中央区,三宮,3850,285,125000,28,金融・保険,22.5,8.2
神戸市中央区,元町,2450,180,82000,26,卸売・小売,28.0,9.5
神戸市中央区,ポートアイランド,620,95,48000,32,医療・医薬,35.5,12.0
神戸市中央区,ハーバーランド,580,75,38000,30,情報通信,18.5,10.8
神戸市兵庫区,兵庫,980,45,28000,25,製造業,32.0,11.5
神戸市長田区,長田,720,32,18500,22,製造業,38.5,14.2
神戸市東灘区,魚崎,1250,68,42000,30,情報通信,25.0,7.8
神戸市灘区,六甲道,1080,52,32000,28,教育・研究,20.5,9.2
神戸市西区,西神中央,880,62,35000,38,製造業,30.0,8.5
兵庫県尼崎市,尼崎北,4200,320,148000,22,製造業,42.5,13.5
兵庫県尼崎市,塚口,1850,125,68000,25,化学・素材,38.0,11.2
兵庫県姫路市,姫路駅前,2850,195,95000,30,製造業,35.0,10.5
兵庫県姫路市,広畑,1250,85,52000,28,化学・鉄鋼,45.0,12.8
兵庫県西宮市,西宮北口,2200,155,78000,26,卸売・小売,24.5,7.5
兵庫県西宮市,甲東園,850,48,28000,30,教育・研究,22.0,6.8
兵庫県芦屋市,芦屋,620,38,22000,32,金融・保険,20.0,5.5
兵庫県伊丹市,伊丹,1680,110,62000,28,航空・輸送,28.5,9.8
兵庫県明石市,明石,1450,88,48000,30,製造業,32.0,10.2
神戸市垂水区,垂水,750,35,22000,35,卸売・小売,26.0,11.5
神戸市北区,谷上,420,22,12000,42,農業・食品,28.0,15.5
