city,total_crimes,crime_rate_per_1000,theft_count,violent_count,fraud_count,safety_score,dominant_crime_type,year
神戸市中央区,4850,18.5,2850,285,620,52,窃盗,2024
神戸市兵庫区,2150,14.2,1280,185,320,62,窃盗,2024
神戸市長田区,1980,15.8,1150,210,280,59,窃盗,2024
神戸市須磨区,1420,9.8,850,125,215,71,窃盗,2024
神戸市垂水区,1380,8.5,820,110,195,74,窃盗,2024
神戸市西区,1250,7.2,750,98,172,78,窃盗,2024
神戸市北区,1180,8.1,680,88,162,75,窃盗,2024
神戸市東灘区,1650,10.2,980,142,242,69,窃盗,2024
神戸市灘区,1720,12.5,1020,158,268,65,窃盗,2024
兵庫県姫路市,4250,12.8,2520,328,580,61,窃盗,2024
兵庫県尼崎市,5820,19.5,3420,445,720,48,窃盗,2024
兵庫県西宮市,3250,9.2,1950,225,485,72,窃盗,2024
兵庫県芦屋市,480,5.2,285,48,82,88,窃盗,2024
兵庫県伊丹市,1850,11.5,1080,158,285,66,窃盗,2024
