city,seismic_intensity_30yr,liquefaction_risk,slope_failure_risk,overall_risk_score,notes
神戸市中央区,74,low,medium,6,阪神淡路大震災(1995)の経験。六甲断層帯
神戸市東灘区,61,medium,low,3,阪神淡路大震災(1995)の経験。六甲断層帯
神戸市灘区,76,low,low,5,阪神淡路大震災(1995)の経験。六甲断層帯
神戸市兵庫区,68,medium,low,5,阪神淡路大震災(1995)の経験。六甲断層帯
神戸市長田区,62,high,low,5,阪神淡路大震災(1995)の経験。六甲断層帯
神戸市西区,80,high,low,9,阪神淡路大震災(1995)の経験。六甲断層帯
姫路市,62,low,medium,3,阪神淡路大震災(1995)の経験。六甲断層帯
西宮市,62,medium,high,5,阪神淡路大震災(1995)の経験。六甲断層帯
尼崎市,66,low,medium,4,阪神淡路大震災(1995)の経験。六甲断層帯
明石市,69,low,low,4,阪神淡路大震災(1995)の経験。六甲断層帯
宝塚市,84,low,medium,8,阪神淡路大震災(1995)の経験。六甲断層帯
