city,district,weekday_avg_flow,weekend_avg_flow,avg_stay_minutes,peak_hour,flow_trend,year
神戸市中央区,三宮,210000,195000,68,8:30,増加,2025
神戸市中央区,元町,155000,145000,72,12:00,横ばい,2025
神戸市中央区,北野,42000,55000,85,11:00,増加,2025
神戸市中央区,ハーバーランド,88000,115000,95,13:00,増加,2025
神戸市兵庫区,兵庫駅前,52000,41000,45,8:00,減少,2025
神戸市長田区,長田駅前,48000,38000,42,8:15,減少,2025
神戸市須磨区,須磨海岸,22000,62000,110,13:00,横ばい,2025
神戸市垂水区,垂水駅前,61000,55000,50,8:00,横ばい,2025
神戸市西区,西神中央駅前,45000,40000,55,8:30,横ばい,2025
神戸市北区,谷上駅前,18000,22000,60,9:00,減少,2025
神戸市東灘区,住吉駅前,55000,50000,48,8:00,増加,2025
神戸市東灘区,甲南山手,32000,38000,65,10:00,増加,2025
神戸市灘区,六甲道駅前,58000,52000,52,8:15,横ばい,2025
神戸市灘区,摩耶,15000,28000,90,11:00,増加,2025
兵庫県姫路市,姫路駅前,98000,78000,62,8:30,横ばい,2025
兵庫県姫路市,姫路城周辺,25000,68000,120,11:00,増加,2025
兵庫県尼崎市,尼崎駅前,125000,85000,55,8:15,横ばい,2025
兵庫県尼崎市,塚口駅前,48000,42000,50,8:30,横ばい,2025
兵庫県西宮市,西宮北口駅前,88000,82000,58,8:30,増加,2025
兵庫県西宮市,苦楽園口,18000,28000,75,11:00,増加,2025
兵庫県芦屋市,芦屋駅前,42000,48000,70,9:00,増加,2025
兵庫県伊丹市,伊丹駅前,55000,45000,52,8:30,横ばい,2025
兵庫県明石市,明石駅前,72000,68000,58,8:30,増加,2025
兵庫県明石市,西明石駅前,38000,32000,45,8:00,横ばい,2025
神戸市中央区,三宮東,62000,58000,55,12:00,増加,2025
