year,city,district,address,land_use,price_per_sqm,change_rate,lat,lng
2023,神戸市中央区,三宮,三宮町1丁目,commercial,3200000,2.8,34.6939,135.1956
2023,神戸市中央区,元町,元町通1丁目,commercial,2400000,2.1,34.6912,135.1872
2023,神戸市中央区,北野,山本通3丁目,residential,720000,1.5,34.7012,135.1921
2023,神戸市中央区,新港,波止場町,commercial,2100000,3.2,34.6875,135.2012
2023,神戸市東灘区,御影,御影本町1丁目,residential,510000,1.2,34.7112,135.2421
2023,神戸市東灘区,住吉,住吉本町1丁目,residential,480000,1.1,34.7180,135.2321
2023,神戸市灘区,六甲道,深田町,residential,380000,0.8,34.7180,135.2189
2023,神戸市灘区,王子公園,王子町3丁目,residential,360000,0.9,34.7121,135.2032
2023,神戸市兵庫区,湊川,荒田町2丁目,residential,290000,0.5,34.6891,135.1712
2023,神戸市兵庫区,西出,西出町,residential,260000,0.4,34.6821,135.1698
2023,神戸市長田区,長田,長田町4丁目,residential,220000,0.3,34.6712,135.1532
2023,神戸市長田区,六間道,苅藻島町3丁目,residential,195000,0.2,34.6645,135.1421
2023,神戸市西区,西神中央,竜が岡1丁目,residential,175000,0.5,34.7012,135.0512
2023,神戸市西区,玉津,高津橋町1丁目,residential,155000,0.3,34.6781,135.1012
2023,姫路市,姫路,駅前町,commercial,450000,1.0,34.8391,134.6934
2023,姫路市,広畑,広畑区本町1丁目,residential,135000,0.3,34.7912,134.6721
2023,西宮市,夙川,南夙川町,residential,520000,1.8,34.7421,135.3412
2023,西宮市,甲陽園,甲陽園本町,residential,480000,1.6,34.7532,135.3512
2023,尼崎市,尼崎,昭和通1丁目,residential,285000,0.7,34.7312,135.4132
2023,明石市,明石,大明石町1丁目,residential,235000,0.8,34.6482,134.9962
2023,宝塚市,宝塚,末広町,residential,310000,1.1,34.7982,135.3582
2024,神戸市中央区,三宮,三宮町1丁目,commercial,3350000,4.7,34.6939,135.1956
2024,神戸市中央区,元町,元町通1丁目,commercial,2520000,5.0,34.6912,135.1872
2024,神戸市東灘区,御影,御影本町1丁目,residential,525000,2.9,34.7112,135.2421
2024,神戸市灘区,六甲道,深田町,residential,390000,2.6,34.7180,135.2189
2024,神戸市西区,西神中央,竜が岡1丁目,residential,182000,4.0,34.7012,135.0512
2024,姫路市,姫路,駅前町,commercial,468000,4.0,34.8391,134.6934
2024,西宮市,夙川,南夙川町,residential,545000,4.8,34.7421,135.3412
2024,尼崎市,尼崎,昭和通1丁目,residential,298000,4.6,34.7312,135.4132
2025,神戸市中央区,三宮,三宮町1丁目,commercial,3500000,4.5,34.6939,135.1956
2025,神戸市中央区,元町,元町通1丁目,commercial,2650000,5.2,34.6912,135.1872
2025,神戸市東灘区,御影,御影本町1丁目,residential,545000,3.8,34.7112,135.2421
2025,神戸市灘区,六甲道,深田町,residential,405000,3.8,34.7180,135.2189
2025,神戸市西区,西神中央,竜が岡1丁目,residential,188000,3.3,34.7012,135.0512
2025,姫路市,姫路,駅前町,commercial,485000,3.6,34.8391,134.6934
2025,西宮市,夙川,南夙川町,residential,565000,3.7,34.7421,135.3412
2025,宝塚市,宝塚,末広町,residential,330000,6.5,34.7982,135.3582
2025,明石市,明石,大明石町1丁目,residential,248000,5.5,34.6482,134.9962
