city,district,facility_name,type,lat,lng,beds
神戸市中央区,楠町,神戸大学医学部附属病院,hospital,34.7042,135.1912,1052
神戸市中央区,下山手通,神戸市立医療センター中央市民病院,hospital,34.6975,135.1858,750
神戸市灘区,城の下通,神戸市立医療センター西市民病院,hospital,34.7148,135.2258,420
兵庫県西宮市,武庫川町,兵庫医科大学病院,hospital,34.7312,135.3752,1000
兵庫県姫路市,下手野,姫路赤十字病院,hospital,34.8198,134.6845,600
兵庫県姫路市,城北新町,姫路医療センター,hospital,34.8342,134.7028,480
兵庫県尼崎市,東難波町,尼崎総合医療センター,hospital,34.7298,135.4162,720
神戸市東灘区,住吉東町,甲南病院,hospital,34.7225,135.2638,380
神戸市垂水区,清水通,神戸掖済会病院,hospital,34.6372,135.0852,320
兵庫県明石市,仲ノ町,明石医療センター,hospital,34.6612,134.9942,360
兵庫県伊丹市,鴻池,近畿中央病院,hospital,34.7778,135.4158,500
神戸市中央区,三宮,神戸三宮内科クリニック,clinic,34.6958,135.1952,
神戸市東灘区,住吉,住吉内科消化器クリニック,clinic,34.7218,135.2618,
兵庫県芦屋市,芦屋,芦屋川クリニック,clinic,34.7282,135.3015,
兵庫県西宮市,西宮北口,西宮北口内科クリニック,clinic,34.7438,135.3392,
兵庫県姫路市,姫路,姫路駅前内科クリニック,clinic,34.8265,134.6925,
兵庫県尼崎市,尼崎,尼崎中央内科クリニック,clinic,34.7362,135.4038,
神戸市中央区,元町,元町歯科クリニック,dental,34.6892,135.1868,
兵庫県芦屋市,芦屋,芦屋歯科医院,dental,34.7278,135.3018,
兵庫県西宮市,苦楽園,苦楽園デンタルオフィス,dental,34.7498,135.3282,
兵庫県明石市,明石,明石ファミリー歯科,dental,34.6618,134.9958,
神戸市灘区,六甲道,六甲道デンタルクリニック,dental,34.7158,135.2308,
神戸市中央区,三宮,ツルハドラッグ三宮店,pharmacy,34.6945,135.1948,
兵庫県姫路市,姫路,調剤薬局ひめじ駅前店,pharmacy,34.8255,134.6912,
兵庫県尼崎市,尼崎,阪神調剤薬局尼崎店,pharmacy,34.7352,135.4025,
兵庫県明石市,明石,セイジョー明石店,pharmacy,34.6615,134.9952,
