city,district,neighborhood,population,households,pop_density_sqkm,avg_age,child_ratio,elderly_ratio,daytime_pop_ratio
神戸市中央区,三宮,三宮町1丁目,1820,1380,32500,37.2,4.2,13.1,9.8
神戸市中央区,元町,元町通1丁目,2340,1720,28800,40.5,5.1,15.8,7.5
神戸市中央区,北野,北野町2丁目,1450,1050,18500,43.2,6.8,18.5,3.2
神戸市中央区,新港,波止場町,680,520,12200,35.8,3.5,10.2,11.5
神戸市東灘区,御影,御影本町1丁目,4280,2050,15800,45.2,9.5,25.8,2.1
神戸市東灘区,住吉,住吉本町1丁目,5120,2380,14200,44.8,10.1,24.5,2.0
神戸市東灘区,深江,深江本町1丁目,3850,1820,16500,43.5,9.8,23.2,2.3
神戸市灘区,六甲道,深田町2丁目,4920,2580,19800,42.1,8.5,22.8,2.8
神戸市灘区,王子公園,王子町2丁目,2680,1450,16200,41.8,8.2,21.5,3.0
神戸市兵庫区,湊川,荒田町1丁目,5380,2920,22500,44.5,7.8,29.8,2.5
神戸市長田区,長田,長田町3丁目,6120,3180,24800,46.2,6.5,34.5,2.2
神戸市長田区,六間道,苅藻島町2丁目,4850,2580,21200,47.1,5.8,36.2,2.0
神戸市西区,西神中央,竜が岡2丁目,7820,3580,9800,43.5,11.2,24.8,2.5
神戸市西区,玉津,高津橋町2丁目,5120,2350,8200,44.8,10.5,26.5,2.1
西宮市,夙川,南夙川町,3250,1620,14500,46.8,8.8,28.5,2.2
西宮市,甲陽園,甲陽園本町,2180,980,8500,50.2,7.5,32.8,1.8
西宮市,甲子園,甲子園六番町,5820,2780,12800,42.5,11.5,22.1,2.8
尼崎市,尼崎,昭和通2丁目,6540,3280,25800,44.2,8.2,31.5,2.5
宝塚市,宝塚,末広町1丁目,4280,1980,11500,46.5,9.2,30.8,2.2
明石市,明石,大明石町2丁目,5620,2680,14200,43.8,10.8,25.5,2.8
