city,population_2020,population_2025,households_2020,households_2025,density_per_sqkm,aging_rate
神戸市中央区,130158,133000,82500,85500,5820,20.8
神戸市東灘区,211872,216000,109000,112000,5850,23.2
神戸市灘区,138762,138500,75000,75500,6920,24.5
神戸市兵庫区,104503,101000,56500,55000,7280,28.5
神戸市長田区,91895,87500,49000,47500,9520,33.2
神戸市西区,253483,248000,118000,117000,1850,26.8
姫路市,530507,518000,233000,231000,992,30.5
西宮市,490519,498000,233000,239000,4580,26.2
尼崎市,452361,442000,220000,218000,10820,30.8
明石市,304072,307000,144000,147000,3620,26.5
宝塚市,226109,221000,105000,104000,3820,30.2
