city,district,elementary_school,junior_high_school,education_score,university_advancement_rate,nearby_school_count,avg_deviation_value
兵庫県芦屋市,芦屋,芦屋市立精道小学校,芦屋市立精道中学校,92,78.5,8,65.2
兵庫県芦屋市,山手,芦屋市立山手小学校,芦屋市立山手中学校,90,76.8,7,64.8
神戸市東灘区,住吉,神戸市立住吉小学校,神戸市立住吉中学校,88,74.2,9,63.5
神戸市東灘区,本山,神戸市立本山小学校,神戸市立本山中学校,87,73.0,8,63.0
神戸市東灘区,甲南,神戸市立甲南小学校,神戸市立甲南中学校,85,70.5,7,62.2
兵庫県西宮市,苦楽園,西宮市立苦楽園小学校,西宮市立甲陵中学校,86,71.8,8,62.8
兵庫県西宮市,甲東園,西宮市立甲東小学校,西宮市立東山中学校,84,69.5,9,62.0
神戸市灘区,王子,神戸市立王子小学校,神戸市立灘中学校,82,68.2,8,61.5
神戸市中央区,布引,神戸市立諏訪山小学校,神戸市立中央中学校,80,66.0,7,60.8
神戸市中央区,三宮,神戸市立中央小学校,神戸市立葺合中学校,75,61.5,6,58.5
神戸市兵庫区,兵庫,神戸市立兵庫小学校,神戸市立兵庫中学校,68,54.2,6,55.0
神戸市長田区,長田,神戸市立長田小学校,神戸市立長田中学校,66,52.8,7,54.2
神戸市須磨区,須磨,神戸市立須磨小学校,神戸市立須磨中学校,70,56.0,6,55.8
神戸市垂水区,垂水,神戸市立垂水小学校,神戸市立塩屋中学校,72,58.5,7,57.2
神戸市西区,西神中央,神戸市立西神小学校,神戸市立西神中学校,74,60.0,8,58.0
神戸市北区,鈴蘭台,神戸市立鈴蘭台小学校,神戸市立鈴蘭台中学校,71,57.2,5,56.5
兵庫県姫路市,姫路,姫路市立白鷺小学校,姫路市立白鷺中学校,76,62.5,8,59.0
兵庫県姫路市,広畑,姫路市立広畑小学校,姫路市立広畑中学校,72,58.0,6,57.0
兵庫県尼崎市,尼崎北,尼崎市立成文小学校,尼崎市立成良中学校,65,50.5,7,53.5
兵庫県尼崎市,塚口,尼崎市立塚口小学校,尼崎市立武庫中学校,68,53.8,7,54.8
兵庫県伊丹市,伊丹,伊丹市立伊丹小学校,伊丹市立伊丹中学校,78,64.0,8,60.2
兵庫県明石市,明石,明石市立明石小学校,明石市立明石中学校,75,61.0,7,58.8
兵庫県明石市,大久保,明石市立大久保小学校,明石市立大久保中学校,72,58.2,6,57.5
神戸市北区,有野,神戸市立有野小学校,神戸市立有野中学校,69,55.0,5,55.5
神戸市垂水区,舞多聞,神戸市立多聞東小学校,神戸市立多聞東中学校,74,60.5,6,58.2
