year,quarter,city,district,property_type,area_sqm,price_total,price_per_sqm,building_year,structure,use
2020,Q1,神戸市,神戸市中央区,commercial,130,65000000,500000,2008,SRC,店舗
2020,Q2,神戸市,神戸市灘区,residential,80,28000000,350000,2002,RC,マンション
2020,Q3,西宮市,西宮市,land,200,40000000,200000,0,,
2020,Q4,尼崎市,尼崎市,residential,90,22500000,250000,1997,RC,マンション
2021,Q1,神戸市,神戸市中央区,office,180,90000000,500000,2015,SRC,事務所
2021,Q2,神戸市,神戸市灘区,land,150,45000000,300000,0,,
2021,Q3,西宮市,西宮市,residential,70,24500000,350000,2010,RC,マンション
2021,Q4,尼崎市,尼崎市,commercial,120,24000000,200000,2000,S,店舗
2022,Q1,神戸市,神戸市中央区,residential,65,32500000,500000,2019,RC,マンション
2022,Q2,神戸市,神戸市灘区,commercial,110,44000000,400000,2012,S,店舗
2022,Q3,西宮市,西宮市,office,140,49000000,350000,2007,RC,事務所
2022,Q4,尼崎市,尼崎市,land,300,45000000,150000,0,,
2023,Q1,神戸市,神戸市中央区,land,100,50000000,500000,0,,
2023,Q2,神戸市,神戸市灘区,residential,75,30000000,400000,2021,RC,マンション
2023,Q3,西宮市,西宮市,commercial,160,56000000,350000,2015,SRC,店舗
2023,Q4,尼崎市,尼崎市,residential,100,20000000,200000,1993,W,戸建て
2024,Q1,神戸市,神戸市中央区,office,200,100000000,500000,2022,SRC,事務所
2024,Q2,神戸市,神戸市灘区,land,130,52000000,400000,0,,
2024,Q3,西宮市,西宮市,residential,60,21000000,350000,2023,RC,マンション
2024,Q4,尼崎市,尼崎市,commercial,140,28000000,200000,2006,S,店舗
2024,Q1,神戸市,神戸市中央区,residential,55,27500000,500000,2024,RC,マンション
2024,Q2,尼崎市,尼崎市,office,110,16500000,150000,2001,RC,事務所
2024,Q3,西宮市,西宮市,land,250,50000000,200000,0,,
