city,district,station_name,line,daily_passengers,walk_min_to_center,station_type
神戸市中央区,三宮,三ノ宮駅,JR神戸線,185000,0,jr
神戸市中央区,三宮,三宮駅,阪急神戸本線,158000,2,private
神戸市中央区,三宮,三宮駅,阪神本線,142000,2,private
神戸市中央区,三宮,三宮駅,神戸市営地下鉄西神・山手線,125000,1,subway
神戸市中央区,元町,元町駅,JR神戸線,68000,5,jr
神戸市中央区,元町,元町駅,阪神本線,52000,5,private
神戸市中央区,ハーバーランド,ハーバーランド駅,神戸市営地下鉄海岸線,42000,12,subway
神戸市兵庫区,兵庫,兵庫駅,JR神戸線,48000,0,jr
神戸市長田区,長田,長田駅,神戸市営地下鉄西神・山手線,38000,0,subway
神戸市垂水区,垂水,垂水駅,JR神戸線,55000,0,jr
神戸市西区,西神中央,西神中央駅,神戸市営地下鉄西神・山手線,42000,0,subway
神戸市北区,谷上,谷上駅,神戸電鉄有馬線,18000,0,private
神戸市東灘区,住吉,住吉駅,JR神戸線,48000,0,jr
神戸市東灘区,甲南山手,甲南山手駅,JR神戸線,28000,0,jr
神戸市灘区,六甲道,六甲道駅,JR神戸線,52000,0,jr
兵庫県姫路市,姫路,姫路駅,JR山陽本線,105000,0,jr
兵庫県姫路市,姫路,姫路駅,山陽新幹線,35000,0,jr
兵庫県姫路市,姫路,山陽姫路駅,山陽電気鉄道本線,28000,5,private
兵庫県尼崎市,尼崎,尼崎駅,JR神戸線,118000,0,jr
兵庫県尼崎市,尼崎,尼崎駅,阪神本線,82000,5,private
兵庫県西宮市,西宮北口,西宮北口駅,阪急神戸本線,95000,0,private
兵庫県西宮市,西宮,西宮駅,阪神本線,58000,0,private
兵庫県芦屋市,芦屋,芦屋駅,JR神戸線,38000,0,jr
兵庫県芦屋市,芦屋,芦屋川駅,阪急神戸本線,22000,8,private
兵庫県伊丹市,伊丹,伊丹駅,阪急伊丹線,42000,0,private
兵庫県明石市,明石,明石駅,JR神戸線,68000,0,jr
兵庫県明石市,西明石,西明石駅,JR神戸線,32000,0,jr
兵庫県明石市,西明石,西明石駅,山陽新幹線,8500,0,jr
