city,total_housing,total_vacant,vacancy_rate,for_rent,for_sale,other_vacant
"たつの市",30148,4070,13.5,10,170,0
"芦屋市",39778,5370,13.5,80,570,0
"伊丹市",70074,9460,13.5,90,980,0
"稲美町",6222,840,13.5,0,70,0
"加古川市",90519,12220,13.5,170,970,0
"加西市",17259,2330,13.5,0,30,0
"加東市",33037,4460,13.5,0,20,0
"香美町",7630,1030,13.5,10,30,0
"高砂市",41926,5660,13.5,60,290,0
"佐用町",14444,1950,13.5,0,0,0
"三田市",31407,4240,13.5,0,790,0
"三木市",30000,4050,13.5,0,390,0
"宍粟市",19852,2680,13.5,10,30,0
"篠山市",21926,2960,13.5,0,40,0
"洲本市",42667,5760,13.5,140,170,0
"小野市",16296,2200,13.5,180,50,0
"上郡町",9556,1290,13.5,0,20,0
"神戸市",808889,109200,13.5,2400,11800,0
"須磨区",85778,11580,13.5,130,1230,0
"垂水区",115556,15600,13.5,440,2850,0
"西宮市",176889,23880,13.5,180,3470,0
"西区",84296,11380,13.5,830,1560,0
"西脇市",22519,3040,13.5,0,200,0
"赤穂市",26222,3540,13.5,20,140,0
"川西市",63704,8600,13.5,80,1220,0
"相生市",22222,3000,13.5,20,110,0
"多可町",9481,1280,13.5,0,20,0
"太子町",7407,1000,13.5,0,30,0
"丹波市",33111,4470,13.5,70,640,0
"淡路市",44296,5980,13.5,30,70,0
"中央区",96148,12980,13.5,350,890,0
"猪名川町",6296,850,13.5,0,70,0
"朝来市",18963,2560,13.5,0,60,0
"長田区",80815,10910,13.5,110,520,0
"東灘区",90519,12220,13.5,130,1960,0
"灘区",78000,10530,13.5,160,1090,0
"南あわじ市",29259,3950,13.5,10,210,0
"尼崎市",276148,37280,13.5,520,3990,0
"播磨町",8667,1170,13.5,20,0,0
"姫路市",278963,37660,13.5,90,3550,0
"福崎町",7704,1040,13.5,0,90,0
"兵庫区",84222,11370,13.5,120,790,0
"宝塚市",86074,11620,13.5,520,1740,0
"豊岡市",43333,5850,13.5,0,70,0
"北区",93852,12670,13.5,80,900,0
"明石市",137037,18500,13.5,340,2410,0
"養父市",17704,2390,13.5,0,160,0
