city,district,facility_name,type,chain_brand,lat,lng,gfa_sqm
横浜市西区,横浜駅,横浜高島屋,mall,,35.4640,139.6228,78000
横浜市西区,横浜駅,そごう横浜,mall,,35.4648,139.6220,68000
横浜市西区,横浜駅,ルミネ横浜,sc,,35.4652,139.6210,35000
横浜市西区,横浜駅,ジョイナス,sc,,35.4658,139.6215,25000
横浜市西区,横浜駅,セブンイレブン横浜駅東口店,cvs,セブンイレブン,35.4650,139.6225,120
横浜市西区,横浜駅,ファミリーマート横浜駅西口店,cvs,ファミリーマート,35.4645,139.6205,130
横浜市西区,横浜駅,マツモトキヨシ横浜駅店,drugstore,マツモトキヨシ,35.4648,139.6218,280
横浜市西区,横浜駅,スギ薬局横浜西口店,drugstore,スギ薬局,35.4642,139.6212,300
横浜市西区,横浜駅,スターバックス横浜,cafe,スターバックス,35.4645,139.6230,160
横浜市中区,みなとみらい,横浜ランドマークプラザ,sc,,35.4560,139.6320,72000
横浜市中区,みなとみらい,クイーンズスクエア横浜,sc,,35.4558,139.6318,55000
横浜市中区,みなとみらい,マルイシティ横浜,sc,,35.4650,139.6310,28000
横浜市中区,みなとみらい,セブンイレブンみなとみらい店,cvs,セブンイレブン,35.4562,139.6325,115
横浜市中区,みなとみらい,ドラッグセイムス横浜みなとみらい店,drugstore,ドラッグセイムス,35.4555,139.6315,260
横浜市港北区,新横浜,キュービックプラザ新横浜,sc,,35.5075,139.6255,28000
横浜市港北区,新横浜,セブンイレブン新横浜駅前店,cvs,セブンイレブン,35.5072,139.6260,120
横浜市港北区,新横浜,マツモトキヨシ新横浜店,drugstore,マツモトキヨシ,35.5078,139.6252,250
川崎市川崎区,川崎,ラゾーナ川崎プラザ,mall,,35.5318,139.6965,165000
川崎市川崎区,川崎,イトーヨーカドー川崎店,supermarket,,35.5310,139.6975,15000
川崎市川崎区,川崎,セブンイレブン川崎駅前店,cvs,セブンイレブン,35.5315,139.6970,120
川崎市川崎区,川崎,ウエルシア川崎駅前店,drugstore,ウエルシア,35.5320,139.6960,320
川崎市中原区,武蔵小杉,武蔵小杉東急スクエア,sc,,35.5678,139.6595,18000
川崎市中原区,武蔵小杉,グランツリー武蔵小杉,mall,,35.5690,139.6598,52000
川崎市中原区,武蔵小杉,セブンイレブン武蔵小杉駅前店,cvs,セブンイレブン,35.5682,139.6600,120
川崎市中原区,武蔵小杉,マツモトキヨシ武蔵小杉店,drugstore,マツモトキヨシ,35.5685,139.6592,280
藤沢市,藤沢,テラスモール湘南,mall,,35.3382,139.4888,79000
藤沢市,藤沢,セブンイレブン藤沢駅前店,cvs,セブンイレブン,35.3378,139.4895,120
藤沢市,藤沢,ウエルシア藤沢駅北口店,drugstore,ウエルシア,35.3380,139.4890,300
平塚市,平塚,ららぽーと湘南平塚,mall,,35.3285,139.3492,42000
平塚市,平塚,セブンイレブン平塚駅前店,cvs,セブンイレブン,35.3288,139.3498,115
平塚市,平塚,マツモトキヨシ平塚駅前店,drugstore,マツモトキヨシ,35.3282,139.3488,260
小田原市,小田原,ラスカ小田原,sc,,35.2652,139.1550,15000
小田原市,小田原,セブンイレブン小田原駅前店,cvs,セブンイレブン,35.2655,139.1558,120
小田原市,小田原,ウエルシア小田原駅前店,drugstore,ウエルシア,35.2648,139.1545,280
