city,district,total_establishments,major_company_count,employee_total,avg_commute_minutes,top_industry,industry_share,office_vacancy_rate
横浜市西区,横浜駅周辺,4850,38,125000,32,卸売・小売業,28.5,3.8
横浜市西区,みなとみらい,2250,52,185000,28,情報通信業,35.2,4.2
横浜市中区,関内,3680,45,142000,30,金融・保険業,30.8,5.5
横浜市中区,山下町,1850,22,68000,35,運輸・郵便業,25.5,7.2
横浜市神奈川区,新子安,2150,18,55000,38,製造業,42.5,6.8
横浜市神奈川区,大口,1680,12,42000,40,製造業,38.5,8.2
横浜市港北区,新横浜,3250,42,115000,25,情報通信業,32.5,4.5
横浜市港北区,日吉,1850,15,48000,35,教育・学習支援業,22.5,6.2
横浜市港北区,綱島,1580,12,38000,38,製造業,28.5,7.5
横浜市都筑区,センター北,2850,28,88000,28,情報通信業,30.5,4.8
横浜市青葉区,青葉台,1250,8,32000,42,医療・福祉,25.5,5.5
横浜市磯子区,磯子,1850,15,52000,42,製造業,45.5,9.5
横浜市金沢区,金沢文庫,1250,10,35000,45,製造業,38.5,8.8
川崎市川崎区,川崎駅前,3850,35,125000,30,卸売・小売業,28.5,5.2
川崎市川崎区,港町,2150,25,82000,35,製造業,52.5,6.5
川崎市中原区,武蔵小杉,4250,48,158000,22,情報通信業,28.5,3.5
川崎市中原区,元住吉,1580,12,42000,35,製造業,38.5,7.8
川崎市宮前区,宮前平,1250,8,32000,38,サービス業,22.5,6.2
神奈川県相模原市,相模大野,2250,22,72000,40,製造業,35.5,7.2
神奈川県藤沢市,藤沢,1850,18,58000,35,製造業,32.5,6.8
神奈川県平塚市,平塚,1650,15,52000,38,製造業,48.5,8.2
神奈川県鎌倉市,鎌倉,850,8,22000,45,宿泊・飲食サービス業,35.5,9.5
