city,total_crimes,crime_rate_per_1000,theft_count,violent_count,fraud_count,safety_score,dominant_crime_type,year
横浜市西区,1820,12.5,1250,185,385,72,窃盗,2024
横浜市中区,2150,14.8,1480,215,455,68,窃盗,2024
横浜市神奈川区,1580,10.2,1085,158,337,75,窃盗,2024
横浜市港北区,1650,8.5,1155,148,347,78,窃盗,2024
横浜市都筑区,980,6.2,688,102,190,82,窃盗,2024
横浜市青葉区,850,5.1,595,85,170,85,窃盗,2024
横浜市磯子区,1120,9.8,784,123,213,74,窃盗,2024
横浜市金沢区,1050,8.2,735,115,200,76,窃盗,2024
川崎市川崎区,2450,16.2,1715,245,490,65,窃盗,2024
川崎市中原区,1380,8.8,966,138,276,78,窃盗,2024
川崎市宮前区,720,4.8,504,72,144,86,窃盗,2024
神奈川県相模原市,2850,9.5,1995,285,570,74,窃盗,2024
神奈川県藤沢市,1950,9.1,1365,195,390,76,窃盗,2024
神奈川県平塚市,1420,10.5,994,142,284,72,窃盗,2024
神奈川県鎌倉市,680,7.2,476,68,136,80,窃盗,2024
