city,district,weekday_avg_flow,weekend_avg_flow,avg_stay_minutes,peak_hour,flow_trend,year
横浜市西区,横浜駅周辺,290000,250000,62,18:00,stable,2025
横浜市西区,みなとみらい,185000,220000,78,14:00,increasing,2025
横浜市中区,関内,185000,140000,55,18:30,stable,2025
横浜市中区,山下公園周辺,95000,135000,90,13:00,increasing,2025
横浜市神奈川区,新子安,82000,58000,40,08:00,stable,2025
横浜市神奈川区,大口,68000,52000,38,08:30,stable,2025
横浜市港北区,綱島,110000,88000,45,08:00,increasing,2025
横浜市港北区,日吉,98000,78000,50,08:30,stable,2025
横浜市港北区,新横浜,155000,120000,55,08:00,increasing,2025
横浜市都筑区,センター北,105000,125000,68,11:00,increasing,2025
横浜市都筑区,センター南,95000,112000,65,11:30,increasing,2025
横浜市青葉区,青葉台,88000,72000,42,08:00,stable,2025
横浜市青葉区,たまプラーザ,105000,95000,55,08:30,stable,2025
横浜市磯子区,磯子,62000,48000,38,08:30,decreasing,2025
横浜市磯子区,洋光台,55000,43000,35,08:30,decreasing,2025
横浜市金沢区,金沢文庫,72000,65000,48,08:30,stable,2025
横浜市金沢区,金沢八景,65000,60000,50,09:00,stable,2025
川崎市川崎区,川崎駅前,210000,175000,58,18:30,stable,2025
川崎市川崎区,川崎大師周辺,55000,98000,72,12:00,stable,2025
川崎市中原区,武蔵小杉,175000,145000,52,08:00,increasing,2025
川崎市中原区,元住吉,78000,62000,40,08:30,stable,2025
川崎市宮前区,宮前平,68000,58000,42,08:30,stable,2025
川崎市宮前区,鷺沼,82000,70000,45,08:30,stable,2025
神奈川県相模原市,相模大野,125000,105000,50,08:30,stable,2025
神奈川県藤沢市,藤沢駅周辺,118000,135000,58,10:00,stable,2025
神奈川県平塚市,平塚駅周辺,88000,78000,48,08:30,stable,2025
神奈川県小田原市,小田原駅前,72000,85000,55,10:00,stable,2025
神奈川県鎌倉市,鎌倉駅周辺,58000,145000,95,11:00,increasing,2025
