year,city,district,address,land_use,price_per_sqm,change_rate,lat,lng
2023,横浜市西区,横浜駅,南幸1丁目,commercial,4200000,2.8,35.4658,139.6206
2023,横浜市西区,横浜駅,北幸2丁目,commercial,3800000,2.5,35.4678,139.6188
2023,横浜市西区,横浜駅,岡野1丁目,residential,1050000,1.8,35.4620,139.6150
2023,横浜市中区,関内,相生町2丁目,commercial,2800000,2.1,35.4445,139.6394
2023,横浜市中区,元町,元町1丁目,commercial,3200000,2.4,35.4411,139.6478
2023,横浜市中区,山手,山手町,residential,920000,1.5,35.4372,139.6512
2023,横浜市神奈川区,横浜駅北,鶴屋町1丁目,residential,580000,1.2,35.4721,139.6241
2023,横浜市神奈川区,反町,反町1丁目,residential,520000,0.9,35.4782,139.6182
2023,横浜市港北区,新横浜,新横浜3丁目,commercial,1850000,2.2,35.5101,139.6123
2023,横浜市港北区,日吉,日吉本町1丁目,residential,620000,1.4,35.5482,139.6401
2023,横浜市都筑区,センター北,茅ケ崎中央,residential,480000,1.1,35.5421,139.5892
2023,横浜市青葉区,青葉台,青葉台1丁目,residential,520000,1.0,35.5512,139.5381
2023,川崎市川崎区,川崎駅,駅前本町,commercial,1350000,1.8,35.5313,139.7025
2023,川崎市川崎区,川崎,大師駅前1丁目,residential,420000,0.8,35.5182,139.7312
2023,川崎市中原区,武蔵小杉,小杉町1丁目,commercial,2500000,3.2,35.5752,139.6558
2023,川崎市中原区,武蔵小杉,小杉御殿町1丁目,residential,750000,2.8,35.5782,139.6602
2023,相模原市中央区,相模原,相模原1丁目,residential,280000,0.5,35.5713,139.3652
2023,藤沢市,藤沢,藤沢1丁目,residential,320000,0.7,35.3381,139.4928
2023,平塚市,平塚,宝町,residential,195000,0.4,35.3282,139.3512
2023,小田原市,小田原,栄町2丁目,residential,168000,0.2,35.2651,139.1542
2024,横浜市西区,横浜駅,南幸1丁目,commercial,4450000,5.9,35.4658,139.6206
2024,横浜市西区,横浜駅,北幸2丁目,commercial,4050000,6.6,35.4678,139.6188
2024,横浜市西区,横浜駅,岡野1丁目,residential,1100000,4.8,35.4620,139.6150
2024,横浜市中区,関内,相生町2丁目,commercial,2950000,5.4,35.4445,139.6394
2024,横浜市中区,元町,元町1丁目,commercial,3400000,6.3,35.4411,139.6478
2024,横浜市神奈川区,横浜駅北,鶴屋町1丁目,residential,610000,5.2,35.4721,139.6241
2024,横浜市港北区,新横浜,新横浜3丁目,commercial,1950000,5.4,35.5101,139.6123
2024,横浜市港北区,日吉,日吉本町1丁目,residential,650000,4.8,35.5482,139.6401
2024,横浜市都筑区,センター北,茅ケ崎中央,residential,500000,4.2,35.5421,139.5892
2024,横浜市青葉区,青葉台,青葉台1丁目,residential,545000,4.8,35.5512,139.5381
2024,川崎市川崎区,川崎駅,駅前本町,commercial,1420000,5.2,35.5313,139.7025
2024,川崎市川崎区,川崎,大師駅前1丁目,residential,450000,7.1,35.5182,139.7312
2024,川崎市中原区,武蔵小杉,小杉町1丁目,commercial,2750000,10.0,35.5752,139.6558
2024,川崎市中原区,武蔵小杉,小杉御殿町1丁目,residential,820000,9.3,35.5782,139.6602
2024,相模原市中央区,相模原,相模原1丁目,residential,290000,3.6,35.5713,139.3652
2024,藤沢市,藤沢,藤沢1丁目,residential,338000,5.6,35.3381,139.4928
2024,平塚市,平塚,宝町,residential,205000,5.1,35.3282,139.3512
2024,小田原市,小田原,栄町2丁目,residential,175000,4.2,35.2651,139.1542
2025,横浜市西区,横浜駅,南幸1丁目,commercial,4750000,6.7,35.4658,139.6206
2025,横浜市西区,横浜駅,北幸2丁目,commercial,4300000,6.2,35.4678,139.6188
2025,横浜市中区,関内,相生町2丁目,commercial,3100000,5.1,35.4445,139.6394
2025,横浜市中区,元町,元町1丁目,commercial,3600000,5.9,35.4411,139.6478
2025,横浜市港北区,新横浜,新横浜3丁目,commercial,2050000,5.1,35.5101,139.6123
2025,川崎市中原区,武蔵小杉,小杉町1丁目,commercial,2950000,7.3,35.5752,139.6558
2025,川崎市中原区,武蔵小杉,小杉御殿町1丁目,residential,880000,7.3,35.5782,139.6602
2025,藤沢市,藤沢,藤沢1丁目,residential,355000,5.0,35.3381,139.4928
