city,district,facility_name,type,lat,lng,beds
横浜市西区,横浜駅,横浜市立大学附属病院,hospital,35.4655,139.6215,1000
横浜市西区,横浜駅,横浜駅前クリニック,clinic,35.4648,139.6222,
横浜市西区,横浜駅,横浜駅西口歯科,dental,35.4650,139.6208,
横浜市西区,横浜駅,スギ薬局調剤横浜西口店,pharmacy,35.4645,139.6225,
横浜市中区,関内,横浜市立みなと赤十字病院,hospital,35.4410,139.6458,540
横浜市中区,関内,関内クリニック,clinic,35.4430,139.6380,
横浜市中区,関内,関内デンタルオフィス,dental,35.4425,139.6388,
横浜市中区,関内,マツモトキヨシ調剤関内店,pharmacy,35.4415,139.6460,
横浜市中区,みなとみらい,みなとみらいクリニック,clinic,35.4558,139.6322,
横浜市港北区,新横浜,新横浜クリニック,clinic,35.5076,139.6251,
横浜市港北区,新横浜,新横浜歯科クリニック,dental,35.5080,139.6258,
横浜市港北区,新横浜,スギ薬局調剤新横浜店,pharmacy,35.5072,139.6248,
横浜市都筑区,センター南,都筑区センター南クリニック,clinic,35.5428,139.6215,
横浜市都筑区,センター南,センター南調剤薬局,pharmacy,35.5432,139.6218,
横浜市青葉区,あざみ野,あざみ野総合病院,hospital,35.5698,139.5188,380
横浜市青葉区,あざみ野,あざみ野クリニック,clinic,35.5448,139.5368,
川崎市川崎区,川崎,川崎病院,hospital,35.5312,139.6985,800
川崎市川崎区,川崎,川崎クリニック,clinic,35.5308,139.6970,
川崎市川崎区,川崎,川崎駅前歯科,dental,35.5315,139.6960,
川崎市川崎区,川崎,ウエルシア調剤川崎駅前店,pharmacy,35.5318,139.6975,
川崎市中原区,武蔵小杉,聖マリアンナ医科大学病院,hospital,35.5855,139.5668,1140
川崎市中原区,武蔵小杉,武蔵小杉クリニック,clinic,35.5675,139.6598,
川崎市中原区,武蔵小杉,武蔵小杉デンタルクリニック,dental,35.5680,139.6602,
川崎市中原区,武蔵小杉,スギ薬局調剤武蔵小杉店,pharmacy,35.5672,139.6595,
相模原市中央区,相模原,北里大学病院,hospital,35.5490,139.3548,940
相模原市中央区,相模原,相模原クリニック,clinic,35.5715,139.3730,
相模原市中央区,相模原,相模原中央調剤薬局,pharmacy,35.5718,139.3735,
藤沢市,藤沢,湘南鎌倉総合病院,hospital,35.3060,139.5198,780
藤沢市,藤沢,藤沢クリニック,clinic,35.3375,139.4892,
藤沢市,藤沢,藤沢駅前歯科,dental,35.3378,139.4898,
藤沢市,藤沢,マツモトキヨシ調剤藤沢駅前店,pharmacy,35.3380,139.4888,
小田原市,小田原,小田原市立病院,hospital,35.2528,139.1620,452
小田原市,小田原,小田原クリニック,clinic,35.2652,139.1552,
小田原市,小田原,小田原駅前歯科,dental,35.2655,139.1548,
小田原市,小田原,ウエルシア調剤小田原駅前店,pharmacy,35.2650,139.1555,
