city,district,neighborhood,population,households,pop_density_sqkm,avg_age,child_ratio,elderly_ratio,daytime_pop_ratio
横浜市西区,横浜駅周辺,鶴屋町2丁目,1820,1380,32500,37.2,4.2,12.5,9.8
横浜市西区,みなとみらい,みなとみらい4丁目,3250,2180,28800,35.8,5.1,10.2,8.5
横浜市西区,横浜駅周辺,南幸1丁目,2150,1650,31200,38.5,3.8,13.8,7.2
横浜市中区,関内,相生町1丁目,1580,1210,26500,40.2,4.5,15.8,6.5
横浜市中区,元町,元町1丁目,2890,1820,22800,43.5,6.2,18.5,4.2
横浜市中区,山手,山手町,3420,1950,15200,47.8,7.5,25.2,2.8
横浜市神奈川区,横浜駅北,鶴屋町1丁目,4820,3250,21500,39.8,6.8,16.2,3.5
横浜市神奈川区,白楽,白楽2丁目,5680,2980,18900,41.5,9.2,19.8,2.4
横浜市港北区,新横浜,篠原町,3120,2050,24500,38.2,7.5,14.5,5.8
横浜市港北区,日吉,日吉本町1丁目,6250,3120,20800,40.5,10.5,17.2,2.9
横浜市港北区,綱島,綱島西1丁目,7850,3980,19200,39.8,11.2,16.8,2.5
横浜市都筑区,センター北,茅ケ崎中央,8920,4580,17500,38.5,13.8,14.2,2.2
横浜市都筑区,港北ニュータウン,中川1丁目,6350,3120,14800,42.5,10.2,20.5,2.0
横浜市青葉区,青葉台,青葉台1丁目,7280,3450,13200,44.8,9.5,23.8,1.8
横浜市青葉区,たまプラーザ,美しが丘1丁目,8510,3980,12500,45.2,9.8,26.5,1.9
川崎市川崎区,川崎駅周辺,駅前本町,2180,1820,35200,36.5,3.5,12.2,8.2
川崎市川崎区,大師,大師駅前1丁目,5820,3120,18500,42.8,8.2,22.5,2.5
川崎市中原区,武蔵小杉,小杉町1丁目,4250,3250,38500,35.2,7.2,10.8,7.5
川崎市中原区,武蔵小杉,小杉御殿町1丁目,5980,3580,32800,36.8,8.5,11.5,5.2
相模原市中央区,相模原,相模原1丁目,6820,3250,11200,45.8,8.8,28.5,2.1
