city,population_2020,population_2025,households_2020,households_2025,density_per_sqkm,aging_rate
横浜市西区,100451,104000,65000,68500,10820,20.5
横浜市中区,149231,153000,89500,93000,9150,22.8
横浜市神奈川区,237152,242000,131000,136000,11250,21.5
横浜市港北区,342874,356000,183000,192000,8920,19.2
横浜市都筑区,217549,222000,105000,109000,5280,18.8
横浜市青葉区,310152,308000,143000,145000,6830,25.2
川崎市川崎区,234213,242000,127000,133000,9180,22.5
川崎市中原区,260879,271000,148000,156000,14250,18.2
相模原市中央区,236588,234000,121000,121000,4280,27.5
藤沢市,438894,445000,210000,216000,4420,25.8
平塚市,258954,254000,120000,120000,3580,29.2
小田原市,189803,182000,88500,86500,1280,33.5
